RK,Name,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR,Year
1,Brian McCannATL,C,4,14,2,6,0.429,1,0,1,3,10,1,4,0,0.438,0.714,1.152,-,2010
2,Jason BartlettTB,LF,5,15,0,6,0.4,1,0,0,0,7,1,1,0,0.471,0.467,0.937,-,2010
3,Curtis GrandersonNYY,LF,9,28,3,10,0.357,2,1,1,6,17,8,5,1,0.514,0.607,1.121,-,2010
4,Mitch MorelandTEX,DH,15,46,5,16,0.348,4,0,1,7,23,4,9,0,0.4,0.5,0.9,-,2010
5,Robinson CanoNYY,2B,9,35,8,12,0.343,1,1,4,6,27,1,3,0,0.361,0.771,1.133,-,2010
6,Orlando HudsonMIN,3B,3,12,2,4,0.333,0,0,1,2,7,0,2,0,0.333,0.583,0.917,-,2010
6,Brandon PhillipsCIN,2B,3,12,2,4,0.333,1,0,1,1,8,0,1,0,0.333,0.667,1.0,-,2010
6,Delmon YoungMIN,RF,3,12,1,4,0.333,0,1,0,0,6,1,1,0,0.385,0.5,0.885,-,2010
9,Nelson CruzTEX,DH,16,60,13,19,0.317,7,0,6,11,44,3,17,1,0.349,0.733,1.083,-,2010
10,Denard SpanMIN,LF,3,13,0,4,0.308,0,0,0,0,4,0,0,0,0.308,0.308,0.615,-,2010
11,Ryan HowardPHI,1B,9,33,1,10,0.303,4,0,0,0,14,5,17,0,0.395,0.424,0.819,-,2010
12,Ben ZobristTB,RF,5,20,2,6,0.3,2,0,1,2,11,2,6,0,0.364,0.55,0.914,-,2010
13,Ian KinslerTEX,2B,16,54,7,16,0.296,2,1,3,9,29,8,7,3,0.381,0.537,0.918,-,2010
14,Cody RossSF,RF,15,51,11,15,0.294,5,0,5,10,35,7,11,0,0.39,0.686,1.076,-,2010
14,Elvis AndrusTEX,SS,16,68,8,20,0.294,3,0,0,4,23,5,8,8,0.338,0.338,0.676,-,2010
16,Buster PoseySF,C,15,59,6,17,0.288,3,0,1,5,23,6,18,1,0.354,0.39,0.744,-,2010
17,Carlos PenaTB,1B,4,14,4,4,0.286,1,1,1,4,10,3,7,0,0.412,0.714,1.126,-,2010
18,Andres TorresSF,LF,15,58,6,16,0.276,4,0,1,3,23,3,18,2,0.323,0.397,0.719,-,2010
19,Aubrey HuffSF,1B,15,56,7,15,0.268,2,0,1,8,20,5,10,0,0.339,0.357,0.696,-,2010
