RK,Name,POS,GP,GS,FIP,TC,PO,A,FP,E,DP,RF,PB,SBA,CS,CS%,DWAR,Year
1,Bengie MolinaTEX,C,13,12,108,130,116,14,1.0,0,0,10.8,1,6,2,0.25,0.0,2010
1,Ramon HernandezCIN,C,3,2,16,9,8,1,1.0,0,0,5.0,0,2,0,0.0,0.0,2010
1,Brian McCannATL,C,4,4,36,47,42,5,1.0,0,0,11.8,0,2,3,0.6,0.0,2010
1,Carlos RuizPHI,C,9,9,80,89,84,5,1.0,0,0,10.1,0,1,1,0.5,0.0,2010
1,Ryan Michael HaniganCIN,C,2,1,9,6,6,0,1.0,0,0,6.2,0,1,0,0.0,0.0,2010
1,Buster PoseySF,C,15,15,135,140,135,5,1.0,0,0,9.3,1,9,3,0.25,0.0,2010
1,Kelly ShoppachTB,C,4,3,25,18,18,0,1.0,0,0,6.5,0,0,0,0.0,0.0,2011
1,Russell MartinNYY,C,5,5,44,51,44,7,1.0,0,0,10.4,0,2,0,0.0,0.0,2011
1,Miguel MonteroARI,C,5,5,41,30,30,0,1.0,0,0,6.6,0,2,0,0.0,0.0,2011
1,Alex AvilaDET,C,11,11,98,98,92,6,1.0,0,1,9.0,0,5,3,0.375,0.0,2011
1,Jonathan LucroyMIL,C,10,9,81,87,81,6,1.0,0,1,9.7,0,7,2,0.222,0.0,2011
6,Yadier MolinaSTL,C,18,18,159,130,121,8,0.992,1,2,7.3,1,3,7,0.7,0.0,2011
7,Carlos RuizPHI,C,5,5,44,53,46,5,0.962,2,2,10.4,0,5,1,0.167,0.0,2011
1,David RossATL,C,1,1,9,5,5,0,1.0,0,0,5.0,0,0,0,0.0,0.0,2012
1,Yadier MolinaSTL,C,13,13,112,107,101,6,1.0,0,0,8.6,0,1,0,0.0,0.0,2012
1,Russell MartinNYY,C,9,9,86,76,72,4,1.0,0,0,8.0,1,5,1,0.167,0.0,2012
1,Geovany SotoTEX,C,1,1,7,9,9,0,1.0,0,0,11.6,0,2,0,0.0,0.0,2012
1,Kurt SuzukiWSH,C,5,5,44,46,45,1,1.0,0,0,9.4,0,4,1,0.2,0.0,2012
1,Ryan Michael HaniganCIN,C,4,4,37,34,34,0,1.0,0,0,8.3,1,1,0,0.0,0.0,2012
1,Matt WietersBAL,C,6,6,59,55,50,5,1.0,0,0,8.4,0,3,1,0.25,0.0,2012
1,Buster PoseySF,C,14,14,127,115,112,3,1.0,0,2,8.1,1,6,2,0.25,0.0,2012
1,Alex AvilaDET,C,9,7,65,82,79,3,1.0,0,0,11.4,0,3,1,0.25,0.0,2012
1,Derek NorrisOAK,C,5,4,35,30,27,3,1.0,0,1,7.8,0,4,1,0.2,0.0,2012
