RK,Name,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WAR,WHIP,Year
1,Tim HudsonATL,SP,1,1,1,0.0,0,0,0,0,7.0,4,0,0,4,5,6.4,-,1.14,2010
1,Matt CainSF,SP,3,3,3,0.0,2,0,0,0,21.1,13,0,0,7,13,5.5,-,0.94,2010
1,Jonny VentersATL,RP,4,0,0,0.0,0,0,0,0,5.1,7,0,0,0,8,13.5,-,1.31,2010
1,Travis WoodCIN,SP,1,0,0,0.0,0,0,0,0,3.1,1,0,0,1,3,8.1,-,0.6,2010
5,Cole HamelsPHI,SP,2,2,2,1.2,1,1,0,0,15.0,9,2,0,1,17,10.2,-,0.67,2010
6,Matt GarzaTB,SP,1,1,1,1.5,0,0,0,0,6.0,5,1,1,2,4,6.0,-,1.17,2010
7,Bronson ArroyoCIN,SP,1,1,0,1.69,0,0,0,0,5.1,4,1,0,3,2,3.4,-,1.31,2010
8,Colby LewisTEX,SP,4,4,2,1.71,3,0,0,0,26.1,16,5,3,13,24,8.2,-,1.1,2010
9,Johnny CuetoCIN,SP,1,1,0,1.8,0,1,0,0,5.0,5,1,1,1,2,3.6,-,1.2,2010
10,Craig KimbrelATL,RP,4,0,0,2.08,0,1,0,1,4.1,1,1,0,1,7,14.5,-,0.46,2010
11,Madison BumgarnerSF,SP,4,3,2,2.18,2,0,0,0,20.2,18,5,1,5,18,7.8,-,1.11,2010
12,Derek LoweATL,RP,2,2,1,2.31,0,2,0,0,11.2,6,3,1,6,14,10.8,-,1.03,2010
13,Tim LincecumSF,RP,6,5,4,2.43,4,1,0,1,37.0,25,10,3,9,43,10.5,-,0.92,2010
14,Roy HalladayPHI,SP,3,3,2,2.45,2,1,0,0,22.0,14,6,2,3,20,8.2,-,0.77,2010
15,Andy PettitteNYY,SP,2,2,2,2.57,1,1,0,0,14.0,10,4,2,1,9,5.8,-,0.79,2010
16,Roy OswaltPHI,SP,4,3,2,2.75,1,1,0,0,19.2,19,6,3,4,19,8.7,-,1.17,2010
17,Cliff LeeTEX,SP,5,5,4,2.78,3,2,0,0,35.2,27,11,2,2,47,11.9,-,0.81,2010
18,Wade DavisTB,RP,1,1,0,3.6,1,0,0,0,5.0,7,2,1,3,7,12.6,-,2.0,2010
19,C.J. WilsonTEX,SP,4,4,3,3.7,1,2,0,0,24.1,17,10,4,10,17,6.3,-,1.11,2010
20,Jonathan SanchezSF,SP,4,4,2,4.05,0,2,0,0,20.0,16,9,2,9,22,9.9,-,1.25,2010
21,David PriceTB,RP,2,2,1,4.97,0,2,0,0,12.2,17,7,2,0,14,9.9,-,1.34,2010
22,CC SabathiaNYY,SP,3,3,2,5.63,2,0,0,0,16.0,22,10,3,7,15,8.4,-,1.81,2010
23,Carl PavanoMIN,SP,1,1,0,6.0,0,1,0,0,6.0,10,4,1,1,3,4.5,-,1.83,2010
24,Phil HughesNYY,RP,3,3,1,6.32,1,2,0,0,15.2,18,11,1,8,12,6.9,-,1.66,2010
25,Francisco LirianoMIN,RP,1,1,0,6.35,0,0,0,0,5.2,6,4,0,3,7,11.1,-,1.59,2010
26,Tommy HansonATL,SP,1,1,0,9.0,0,0,0,0,4.0,5,4,1,1,5,11.3,-,1.5,2010
27,Brian DuensingMIN,RP,1,1,0,13.5,0,1,0,0,3.1,7,5,1,1,1,2.7,-,2.4,2010
1,Cole HamelsPHI,SP,1,1,1,0.0,1,0,0,0,6.0,5,0,0,3,8,12.0,-,1.33,2011
2,Matt MooreTB,RP,2,1,1,0.9,1,0,0,0,10.0,3,1,1,3,8,7.2,-,0.6,2011
3,Josh CollmenterARI,RP,1,1,1,1.29,1,0,0,0,7.0,2,1,1,2,6,7.7,-,0.57,2011
4,A.J. BurnettNYY,SP,1,1,0,1.59,1,0,0,0,5.2,4,1,1,4,3,4.8,-,1.41,2011
5,Roy HalladayPHI,SP,2,2,2,2.25,1,1,0,0,16.0,9,4,1,2,15,8.4,-,0.69,2011
6,Yovani GallardoMIL,SP,3,3,2,2.84,1,1,0,0,19.0,18,6,2,8,16,7.6,-,1.37,2011
7,Colby LewisTEX,SP,4,4,2,3.04,1,1,0,0,23.2,16,8,4,9,20,7.6,-,1.06,2011
8,Chris CarpenterSTL,SP,6,6,4,3.25,4,0,0,0,36.0,31,13,4,11,21,5.3,-,1.17,2011
9,Derek HollandTEX,P,6,4,1,3.38,2,0,0,1,24.0,22,9,6,8,14,5.3,-,1.25,2011
10,David HernandezARI,RP,4,0,0,3.6,0,0,0,0,5.0,2,2,1,0,5,9.0,-,0.4,2011
11,David PriceTB,RP,1,1,1,4.05,0,1,0,0,6.2,7,3,1,1,3,4.1,-,1.2,2011
12,Jaime GarciaSTL,SP,5,5,2,4.21,0,2,0,0,25.2,27,12,3,8,21,7.4,-,1.36,2011
13,Ian KennedyARI,RP,2,2,1,4.26,0,1,0,0,12.2,13,6,1,3,8,5.7,-,1.26,2011
14,Ivan NovaNYY,SP,2,1,0,4.32,1,1,0,0,8.1,7,4,2,4,8,8.6,-,1.32,2011
15,Doug FisterDET,SP,3,2,1,4.76,2,1,0,0,17.0,19,9,1,4,13,6.9,-,1.35,2011
16,Rick PorcelloDET,SP,4,2,1,4.8,0,1,0,0,15.0,15,8,0,2,12,7.2,-,1.13,2011
17,Freddy GarciaNYY,SP,1,1,0,5.06,0,1,0,0,5.1,6,3,1,0,6,10.1,-,1.13,2011
18,Justin VerlanderDET,SP,4,4,0,5.31,2,1,0,0,20.1,19,12,2,10,25,11.1,-,1.43,2011
19,Matt HarrisonTEX,SP,5,4,0,5.4,1,2,0,0,18.1,20,11,2,9,16,7.9,-,1.58,2011
20,Max ScherzerDET,SP,4,3,2,5.74,1,1,0,1,15.2,15,10,1,9,14,8.0,-,1.53,2011
21,C.J. WilsonTEX,SP,6,5,0,5.79,0,3,0,0,28.0,29,18,6,19,26,8.4,-,1.71,2011
22,CC SabathiaNYY,SP,3,2,0,6.23,0,0,0,0,8.2,10,6,1,8,11,11.4,-,2.08,2011
23,Zack GreinkeMIL,SP,3,3,0,6.48,1,1,0,0,16.2,23,12,4,4,13,7.0,-,1.62,2011
24,Jeremy HellicksonTB,SP,1,1,0,6.75,0,1,0,0,4.0,4,3,3,1,1,2.3,-,1.25,2011
25,Roy OswaltPHI,SP,1,1,0,7.5,0,1,0,0,6.0,6,5,1,1,5,7.5,-,1.17,2011
25,Cliff LeePHI,SP,1,1,0,7.5,0,1,0,0,6.0,12,5,0,2,9,13.5,-,2.33,2011
27,Daniel HudsonARI,RP,1,1,0,8.44,0,1,0,0,5.1,9,5,1,0,6,10.1,-,1.69,2011
28,James ShieldsTB,SP,1,1,0,12.6,0,1,0,0,5.0,8,7,0,0,6,10.8,-,1.6,2011
1,Bronson ArroyoCIN,SP,1,1,1,0.0,1,0,0,0,7.0,1,0,0,1,4,5.1,-,0.29,2012
1,Eric O'FlahertyATL,RP,1,0,0,0.0,0,0,0,0,1.0,2,0,0,0,0,0.0,-,2.0,2012
1,Ross DetwilerWSH,RP,1,1,1,0.0,0,0,0,0,6.0,3,0,0,3,2,3.0,-,1.0,2012
1,Darren O'DayBAL,RP,5,0,0,0.0,0,0,0,3,7.0,1,0,0,1,5,6.4,-,0.29,2012
1,Brett AndersonOAK,SP,1,1,1,0.0,1,0,0,0,6.0,2,0,0,2,6,9.0,-,0.67,2012
1,Koji UeharaTEX,RP,1,0,0,0.0,0,0,0,0,1.0,0,0,0,0,3,27.0,-,0.0,2012
1,Craig KimbrelATL,RP,1,0,0,0.0,0,0,0,0,1.0,0,0,0,0,1,9.0,-,0.0,2012
8,Ryan VogelsongSF,SP,4,4,2,1.09,3,0,0,0,24.2,16,3,0,10,21,7.7,-,1.05,2012
9,Homer BaileyCIN,SP,1,1,1,1.29,0,0,0,0,7.0,1,1,0,1,10,12.9,-,0.29,2012
9,Miguel GonzalezBAL,SP,1,1,1,1.29,0,0,0,0,7.0,5,1,0,0,8,10.3,-,0.71,2012
11,Doug FisterDET,SP,3,3,3,1.4,0,1,0,0,19.1,16,3,0,7,16,7.4,-,1.19,2012
12,Wei-Yin ChenBAL,RP,1,1,1,1.42,1,0,0,0,6.1,8,1,0,1,3,4.3,-,1.42,2012
13,Tommy MiloneOAK,RP,1,1,1,1.5,0,0,0,0,6.0,5,1,0,1,6,9.0,-,1.0,2012
14,Joe SaundersBAL,SP,2,2,0,1.59,1,0,0,0,11.1,9,2,0,5,9,7.1,-,1.24,2012
15,Barry ZitoSF,SP,3,3,1,1.69,2,0,0,0,16.0,16,3,1,6,13,7.3,-,1.38,2012
16,Anibal SanchezDET,SP,3,3,3,1.77,1,2,0,0,20.1,14,4,1,6,18,8.0,-,0.98,2012
17,Phil HughesNYY,RP,2,2,1,1.86,0,1,0,0,9.2,7,2,2,6,9,8.4,-,1.34,2012
18,Max ScherzerDET,SP,3,3,1,2.08,1,0,0,0,17.1,12,4,1,4,26,13.5,-,0.92,2012
19,Justin VerlanderDET,SP,4,4,3,2.22,3,1,0,0,28.1,16,7,4,6,29,9.2,-,0.78,2012
20,Tim LincecumSF,RP,6,1,0,2.55,1,1,0,1,17.2,9,5,0,5,20,10.2,-,0.79,2012
