RK,Name,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR,Year
1,Josh HamiltonTEX,LF,133,518,95,186,0.359,40,3,32,100,328,43,95,8,0.411,0.633,1.044,8.4,2010
2,Carlos GonzalezCOL,RF,145,587,111,197,0.336,34,9,34,117,351,40,135,26,0.376,0.598,0.974,5.8,2010
3,Miguel CabreraDET,DH,150,548,111,180,0.328,45,1,38,126,341,89,95,3,0.42,0.622,1.042,6.1,2010
4,Joe MauerMIN,1B,137,510,88,167,0.327,43,1,9,75,239,65,53,1,0.402,0.469,0.871,5.5,2010
5,Joey VottoCIN,1B,150,547,106,177,0.324,36,2,37,113,328,91,125,16,0.424,0.6,1.024,6.7,2010
6,Adrian BeltreBOS,3B,154,589,84,189,0.321,49,2,28,102,326,40,82,2,0.365,0.553,0.919,7.4,2010
7,Omar InfanteATL,2B,134,471,65,151,0.321,15,3,8,47,196,29,62,7,0.359,0.416,0.775,2.9,2010
8,Robinson CanoNYY,2B,160,626,103,200,0.319,41,3,29,109,334,57,77,3,0.381,0.534,0.914,7.8,2010
9,Billy ButlerKC,DH,158,595,77,189,0.318,45,0,15,78,279,69,78,0,0.388,0.469,0.857,2.9,2010
10,Troy TulowitzkiCOL,SS,122,470,89,148,0.315,32,3,27,95,267,48,78,11,0.381,0.568,0.949,6.5,2010
11,Ichiro SuzukiSEA,RF,162,680,74,214,0.315,30,3,6,43,268,45,86,42,0.359,0.394,0.754,3.4,2010
12,Matt HollidaySTL,OF,158,596,95,186,0.312,45,1,28,103,317,69,93,9,0.39,0.532,0.922,5.7,2010
13,Paul KonerkoCHW,DH,149,548,89,171,0.312,30,1,39,111,320,72,110,0,0.393,0.584,0.977,4.3,2010
14,Albert PujolsSTL,DH,159,587,115,183,0.312,39,1,42,118,350,103,76,14,0.414,0.596,1.011,7.3,2010
15,Martin PradoATL,1B,140,599,100,184,0.307,40,3,15,66,275,40,86,5,0.35,0.459,0.809,4.9,2010
