RK,Name,POS,GP,GS,FIP,TC,PO,A,FP,E,DP,RF,PB,SBA,CS,CS%,DWAR,Year
1,Yadier MolinaSTL,C,135,130,1138,979,895,79,0.995,5,10,7.7,7,35,33,0.485,2.9,2010
2,A.J. PierzynskiCHW,C,127,123,1093,931,865,61,0.995,5,5,7.6,3,75,27,0.265,0.9,2010
3,Matt WietersBAL,C,126,121,1060,831,775,51,0.994,5,10,7.0,2,53,24,0.312,1.6,2010
4,John BuckTOR,C,112,104,933,778,733,40,0.994,5,6,7.5,4,47,18,0.277,-0.4,2010
5,Carlos RuizPHI,C,118,109,974,880,814,60,0.993,6,7,8.1,4,50,20,0.286,1.4,2010
6,Bengie MolinaTEX/SF,C,113,105,898,817,751,60,0.993,6,5,8.1,4,79,24,0.233,-0.1,2010
7,Kurt SuzukiOAK,C,123,121,1058,868,825,35,0.991,8,5,7.3,7,66,19,0.224,1.7,2010
8,Miguel OlivoCOL,C,111,107,935,892,821,62,0.99,9,9,8.5,10,45,33,0.423,1.8,2010
9,Brian McCannATL,C,136,129,1110,1050,972,64,0.987,14,12,8.4,5,84,36,0.3,0.7,2010
10,Jason KendallKC,C,118,118,1018,802,721,68,0.984,13,11,7.0,6,101,41,0.289,0.9,2010
1,Carlos RuizPHI,C,128,113,1051,1022,950,68,0.996,4,4,8.7,8,77,23,0.23,0.8,2011
2,A.J. PierzynskiCHW,C,120,112,1008,886,817,65,0.995,4,4,7.9,4,94,24,0.203,-0.2,2011
3,Brian McCannATL,C,126,118,1083,1061,978,78,0.995,5,14,8.8,7,104,29,0.218,0.4,2011
4,John BuckFLA,C,135,129,1144,1055,1008,42,0.995,5,5,8.3,7,83,17,0.17,0.3,2011
5,Alex AvilaDET,C,133,130,1157,1018,940,73,0.995,5,14,7.9,7,85,40,0.32,0.6,2011
6,Matt WietersBAL,C,132,129,1150,930,855,70,0.995,5,14,7.2,1,58,34,0.37,2.7,2011
7,Yadier MolinaSTL,C,137,131,1150,929,857,67,0.995,5,5,7.2,6,46,19,0.292,0.4,2011
8,J.P. ArencibiaTOR,C,122,118,1060,900,822,72,0.993,6,4,7.6,12,87,28,0.243,0.3,2011
9,Jonathan LucroyMIL,C,132,114,1044,1046,976,63,0.993,7,6,9.0,1,77,30,0.28,0.3,2011
10,Wilson RamosWSH,C,108,106,952,744,684,55,0.993,5,7,7.0,3,48,23,0.324,0.2,2011
11,Kurt SuzukiOAK,C,129,127,1132,976,914,55,0.993,7,7,7.7,5,98,38,0.279,0.7,2011
12,Russell MartinNYY,C,125,118,1044,972,866,96,0.99,10,8,8.3,4,95,40,0.296,1.5,2011
13,Miguel MonteroARI,C,134,131,1169,997,908,78,0.989,11,9,7.6,8,48,32,0.4,1.5,2011
14,Miguel OlivoSEA,C,127,120,1064,917,835,71,0.988,11,7,7.7,11,79,31,0.282,-0.1,2011
15,Geovany SotoCHC,C,122,119,1042,994,899,82,0.987,13,7,8.5,5,85,36,0.298,0.7,2011
1,Brian McCannATL,C,114,113,995,898,845,51,0.998,2,4,8.1,6,76,24,0.24,0.7,2012
2,Yadier MolinaSTL,C,136,133,1161,1053,962,88,0.997,3,12,8.1,6,38,35,0.479,2.6,2012
3,Ryan Michael HaniganCIN,C,110,98,877,833,781,48,0.995,4,6,8.5,3,34,32,0.485,1.5,2012
4,A.J. EllisLAD,C,131,128,1151,1100,1007,87,0.995,6,12,8.6,11,74,36,0.327,1.1,2012
5,Kurt SuzukiOAK/WSH,C,117,113,1014,881,815,61,0.994,5,7,7.8,6,65,28,0.301,0.8,2012
6,Russell MartinNYY,C,128,116,1045,991,924,61,0.994,6,3,8.5,9,63,20,0.241,0.2,2012
7,A.J. PierzynskiCHW,C,126,121,1071,976,899,71,0.994,6,8,8.1,8,76,27,0.262,0.3,2012
8,Alex AvilaDET,C,113,107,938,960,897,57,0.994,6,7,9.2,10,79,34,0.301,1.2,2012
9,Miguel MonteroARI,C,139,136,1190,1095,1008,78,0.992,9,8,8.2,5,44,32,0.421,0.8,2012
10,Buster PoseySF,C,114,111,973,932,855,69,0.991,8,9,8.5,2,87,38,0.304,0.5,2012
11,Matt WietersBAL,C,134,132,1189,1056,994,52,0.991,10,7,7.9,5,51,32,0.386,1.3,2012
1,Russell MartinPIT,C,120,117,1051,990,885,103,0.998,2,6,8.5,4,53,36,0.404,2.6,2013
2,A.J. PierzynskiTEX,C,119,111,1005,959,892,65,0.998,2,8,8.6,6,49,24,0.329,0.6,2013
3,Chris StewartNYY,C,108,97,844,798,741,55,0.997,2,6,8.5,12,37,17,0.315,0.9,2013
4,Matt WietersBAL,C,140,134,1201,1082,1021,58,0.997,3,6,8.1,5,44,24,0.353,-0.3,2013
5,A.J. EllisLAD,C,113,109,972,931,855,73,0.997,3,8,8.6,6,35,28,0.444,0.7,2013
6,Yadier MolinaSTL,C,131,128,1115,1043,976,63,0.996,4,11,8.4,3,26,20,0.435,2.1,2013
7,Miguel MonteroARI,C,112,111,1007,898,823,70,0.994,5,5,8.0,9,31,15,0.326,0.1,2013
8,Jarrod SaltalamacchiaBOS,C,119,111,1004,960,908,46,0.994,6,4,8.6,7,89,24,0.212,0.3,2013
9,Chris IannettaLAA,C,113,102,922,781,725,51,0.994,5,6,7.6,6,84,20,0.192,0.1,2013
10,Salvador PerezKC,C,137,126,1115,1008,930,71,0.993,7,4,8.1,3,46,25,0.352,2.3,2013
11,Buster PoseySF,C,121,119,1031,967,907,53,0.993,7,5,8.4,3,63,27,0.3,1.0,2013
12,Jonathan LucroyMIL,C,126,122,1074,921,857,56,0.991,8,5,7.7,7,80,22,0.216,0.5,2013
13,J.P. ArencibiaTOR,C,131,115,1059,951,891,49,0.988,11,6,8.0,13,62,21,0.253,1.2,2013
14,Welington CastilloCHC,C,111,107,956,825,730,85,0.988,10,3,7.7,8,67,28,0.295,2.8,2013
15,Nick HundleySD,C,112,102,928,802,729,63,0.988,10,12,7.7,4,81,28,0.257,0.3,2013
1,Brian McCannNYY,C,108,101,889,923,859,62,0.998,2,4,9.3,10,49,29,0.372,0.7,2014
2,Devin MesoracoCIN,C,109,104,937,890,832,55,0.997,3,5,8.5,9,51,18,0.261,0.9,2014
3,Dioner NavarroTOR,C,112,102,907,820,782,35,0.996,3,3,8.1,7,58,15,0.205,0.9,2014
4,Jonathan LucroyMIL,C,136,133,1182,1082,1013,65,0.996,4,5,8.2,5,83,29,0.259,2.0,2014
5,Mike ZuninoSEA,C,130,125,1121,1099,1010,84,0.995,5,5,8.8,8,71,28,0.283,0.3,2014
6,Jason CastroHOU,C,114,110,971,826,767,55,0.995,4,4,7.6,11,81,23,0.221,1.1,2014
7,Kurt SuzukiMIN,C,119,115,1018,780,737,39,0.995,4,1,6.9,3,64,21,0.247,0.5,2014
8,Alex AvilaDET,C,122,116,1018,940,883,52,0.995,5,9,8.3,3,71,36,0.336,1.5,2014
9,Carlos RuizPHI,C,109,104,960,925,852,68,0.995,5,9,8.6,4,74,28,0.275,1.6,2014
10,Buster PoseySF,C,111,109,929,843,787,51,0.994,5,8,8.1,5,59,25,0.298,0.2,2014
11,Derek NorrisOAK,C,114,93,870,794,745,43,0.992,6,3,8.1,8,60,12,0.167,0.5,2014
12,Salvador PerezKC,C,146,143,1249,1118,1037,72,0.992,9,5,8.0,5,57,25,0.305,2.1,2014
13,Tyler FlowersCHW,C,124,120,1052,941,863,70,0.991,8,6,8.0,9,62,26,0.295,1.4,2014
14,Miguel MonteroARI,C,131,130,1152,1115,1037,65,0.988,13,12,8.6,5,64,26,0.289,0.0,2014
15,Yan GomesCLE,C,126,121,1082,1139,1052,73,0.988,14,9,9.4,6,66,31,0.32,1.3,2014
1,James McCannDET,C,112,103,943,777,723,54,1.0,0,5,7.4,3,41,28,0.406,0.8,2015
2,Kurt SuzukiMIN,C,130,123,1096,863,825,35,0.997,3,8,7.1,3,80,14,0.149,0.9,2015
3,Salvador PerezKC,C,139,137,1192,1068,974,90,0.996,4,10,8.0,4,66,29,0.305,1.5,2015
4,Russell MartinTOR,C,117,113,994,873,799,70,0.995,4,6,7.9,19,40,32,0.444,0.7,2015
5,Tyler FlowersCHW,C,110,100,878,945,877,63,0.995,5,10,9.6,15,53,18,0.254,0.5,2015
6,Wilson RamosWSH,C,125,123,1078,1109,1026,77,0.995,6,3,9.2,3,30,24,0.444,1.8,2015
7,Mike ZuninoSEA,C,112,101,920,858,809,44,0.994,5,6,8.3,6,42,22,0.344,0.7,2015
8,Yadier MolinaSTL,C,134,131,1150,1127,1064,56,0.994,7,9,8.8,4,37,26,0.413,1.6,2015
9,Francisco CervelliPIT,C,128,124,1100,1081,992,82,0.994,7,6,8.8,10,101,29,0.223,0.5,2015
10,Brian McCannNYY,C,126,119,1042,1056,980,69,0.993,7,5,9.1,1,50,28,0.359,0.8,2015
10,Derek NorrisSD,C,128,116,1041,1056,970,79,0.993,7,7,9.1,13,84,44,0.344,0.8,2015
12,J.T. RealmutoMIA,C,118,116,1025,888,836,46,0.993,6,6,7.7,11,43,16,0.271,1.4,2015
13,Miguel MonteroCHC,C,109,90,825,887,820,55,0.986,12,3,9.5,3,71,18,0.202,0.4,2015
1,Yadier MolinaSTL,C,146,142,1218,1175,1113,60,0.998,2,5,8.7,8,67,18,0.212,0.7,2016
2,Wilson RamosWSH,C,128,122,1096,1158,1094,61,0.997,3,6,9.5,10,32,19,0.373,0.6,2016
3,Buster PoseySF,C,123,122,1070,1071,1003,65,0.997,3,8,9.0,2,47,28,0.373,2.0,2016
4,Salvador PerezKC,C,128,128,1106,1070,989,77,0.996,4,4,8.7,5,40,37,0.481,2.0,2016
5,Russell MartinTOR,C,127,119,1069,1048,989,55,0.996,4,3,8.8,9,61,11,0.153,0.4,2016
6,Jason CastroHOU,C,111,102,909,922,865,53,0.996,4,8,9.1,12,45,14,0.237,0.4,2016
7,Yasmani GrandalLAD,C,115,106,954,1082,1022,55,0.995,5,4,10.2,10,59,24,0.289,0.7,2016
