RK,Name,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WAR,WHIP,Year
1,Felix HernandezSEA,SP,34,34,30,2.27,13,12,0,0,249.2,194,63,17,70,232,8.4,6.8,1.06,2010
2,Josh JohnsonFLA,SP,28,28,23,2.3,11,6,0,0,183.2,155,47,7,48,186,9.1,6.8,1.11,2010
3,Clay BuchholzBOS,SP,28,28,19,2.33,17,7,0,0,173.2,142,45,9,67,120,6.2,5.4,1.2,2010
4,Adam WainwrightSTL,SP,33,33,25,2.42,20,11,0,0,230.1,186,62,15,56,213,8.3,5.9,1.05,2010
5,Roy HalladayPHI,SP,33,33,25,2.44,21,10,0,0,250.2,231,68,24,30,219,7.9,8.3,1.04,2010
6,Jaime GarciaSTL,SP,28,28,19,2.7,13,8,0,0,163.1,151,49,9,64,132,7.3,2.5,1.32,2010
7,David PriceTB,RP,32,31,25,2.72,19,6,0,0,208.2,170,63,15,79,188,8.1,4.4,1.19,2010
8,Roy OswaltPHI/HOU,SP,33,32,24,2.76,13,13,0,0,211.2,162,65,19,55,193,8.2,3.2,1.03,2010
9,Tim HudsonATL,SP,34,34,25,2.83,17,9,0,0,228.2,189,72,20,74,139,5.5,5.5,1.15,2010
10,R.A. DickeyNYM,SP,27,26,19,2.84,11,9,0,1,174.1,165,55,13,42,104,5.4,3.4,1.19,2010
11,Ubaldo JimenezCOL,SP,33,33,25,2.88,19,8,0,0,221.2,164,71,10,92,214,8.7,7.3,1.15,2010
12,Clayton KershawLAD,SP,32,32,23,2.91,13,10,0,0,204.1,160,66,13,81,212,9.3,5.4,1.18,2010
13,Mat LatosSD,SP,31,31,21,2.92,14,10,0,0,184.2,150,60,16,50,189,9.2,3.0,1.08,2010
14,Trevor CahillOAK,SP,30,30,21,2.97,18,8,0,0,196.2,155,65,19,63,118,5.4,3.7,1.11,2010
15,Johan SantanaNYM,SP,29,29,17,2.98,11,9,0,0,199.0,179,66,16,55,144,6.5,4.5,1.18,2010
16,Jered WeaverLAA,SP,34,34,27,3.01,13,12,0,0,224.1,187,75,23,54,233,9.3,4.9,1.07,2010
17,Cole HamelsPHI,SP,33,33,21,3.06,12,11,0,0,208.2,185,71,26,61,211,9.1,5.3,1.18,2010
18,Jonathan SanchezSF,SP,34,33,14,3.07,13,9,0,1,193.1,142,66,21,96,205,9.5,3.0,1.23,2010
19,Brett MyersHOU,SP,33,33,24,3.14,14,8,0,0,223.2,212,78,20,66,180,7.2,4.7,1.24,2010
20,Matt CainSF,SP,33,33,25,3.14,13,11,0,0,223.1,181,78,22,61,177,7.1,3.8,1.08,2010
21,Cliff LeeSEA/TEX,SP,28,28,18,3.18,12,9,0,0,212.1,195,75,16,18,185,7.8,1.5,1.0,2010
22,CC SabathiaNYY,SP,34,34,26,3.18,21,7,0,0,237.2,209,84,20,74,197,7.5,4.4,1.19,2010
23,Chris CarpenterSTL,SP,35,35,25,3.22,16,9,0,0,235.0,214,84,21,63,179,6.9,2.7,1.18,2010
24,Gio GonzalezOAK,SP,33,33,23,3.23,15,9,0,0,200.2,171,72,15,92,171,7.7,3.6,1.31,2010
25,Jon LesterBOS,SP,32,32,20,3.25,19,9,0,0,208.0,167,75,14,83,225,9.7,4.9,1.2,2010
26,Tommy HansonATL,SP,34,34,19,3.33,10,11,0,0,202.2,182,75,14,56,173,7.7,2.6,1.17,2010
27,C.J. WilsonTEX,SP,33,33,20,3.35,15,8,0,0,204.0,161,76,10,93,170,7.5,4.7,1.25,2010
28,Justin VerlanderDET,SP,33,33,22,3.37,18,9,0,0,224.1,190,84,14,71,219,8.8,4.1,1.16,2010
29,Hiroki KurodaLAD,SP,31,31,21,3.39,11,13,0,0,196.1,180,74,15,48,159,7.3,3.3,1.16,2010
30,Tim LincecumSF,RP,33,33,22,3.43,16,10,0,0,212.1,194,81,18,76,231,9.8,3.0,1.27,2010
31,Jon GarlandSD,SP,33,33,19,3.47,14,12,0,0,200.0,176,77,20,87,136,6.1,1.1,1.32,2010
32,Max ScherzerDET,SP,31,31,18,3.5,12,11,0,0,195.2,174,76,20,70,184,8.5,3.1,1.25,2010
33,Dallas BradenOAK,SP,30,30,17,3.5,11,14,0,0,192.2,180,75,17,43,113,5.3,2.2,1.16,2010
34,Anibal SanchezFLA,SP,32,32,20,3.55,13,12,0,0,195.0,192,77,10,70,157,7.2,2.9,1.34,2010
35,Chad BillingsleyLAD,SP,31,31,18,3.57,12,11,0,0,191.2,176,76,8,69,171,8.0,3.4,1.28,2010
36,Wandy RodriguezHOU,SP,32,32,23,3.6,11,12,0,0,195.0,183,78,16,68,178,8.2,2.3,1.29,2010
37,Francisco LirianoMIN,RP,31,31,20,3.62,14,10,0,0,191.2,184,77,9,58,201,9.4,4.0,1.26,2010
38,Ted LillyCHC/LAD,SP,30,30,22,3.62,10,12,0,0,193.2,165,78,32,44,166,7.7,1.8,1.08,2010
39,Johnny CuetoCIN,SP,31,31,18,3.64,12,7,0,0,185.2,181,75,19,56,138,6.7,2.2,1.28,2010
