RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,Year
1,Dwyane WadeMIA,G,5,42.0,33.2,12.4,22.0,56.4,3.0,7.4,40.5,5.4,8.0,67.5,5.6,6.8,1.6,1.6,5.2,1,0,2010
2,Carmelo AnthonyDEN,PF,6,42.3,30.7,10.7,23.0,46.4,1.0,3.2,31.6,8.3,9.5,87.7,8.5,3.3,2.0,0.5,3.5,3,0,2010
3,Kobe BryantLAL,SF,23,40.1,29.2,10.2,22.2,45.8,2.1,5.7,37.4,6.7,8.0,84.2,6.0,5.5,1.3,0.7,3.4,6,0,2010
4,LeBron JamesCLE,SF,11,41.8,29.1,9.6,19.2,50.2,1.8,4.5,40.0,8.0,10.9,73.3,9.3,7.6,1.7,1.8,3.8,4,2,2010
5,Derrick RoseCHI,PG,5,42.4,26.8,11.4,25.0,45.6,0.4,1.2,33.3,3.6,4.4,81.8,3.4,7.2,0.8,0.0,2.6,1,0,2010
6,Dirk NowitzkiDAL,F,6,38.8,26.7,9.7,17.7,54.7,0.7,1.2,57.1,6.7,7.0,95.2,8.2,3.0,0.8,0.7,1.7,2,0,2010
7,Kevin DurantOKC,PF,6,38.5,25.0,7.2,20.5,35.0,1.7,5.8,28.6,9.0,10.3,87.1,7.7,2.3,0.5,1.3,3.7,1,0,2010
8,Deron WilliamsUTAH,PG,10,39.8,24.3,6.7,14.9,45.0,2.0,5.1,39.2,8.9,11.1,80.2,2.7,10.2,1.0,0.4,3.0,5,0,2010
9,Amar'e StoudemirePHX,C,16,36.5,22.2,7.8,14.9,51.9,0.0,0.3,0.0,6.7,8.9,75.4,6.6,1.1,0.7,1.5,2.5,3,0,2010
10,Russell WestbrookOKC,PG,6,35.3,20.5,7.2,15.2,47.3,0.8,2.0,41.7,5.3,6.3,84.2,6.0,6.0,1.7,0.2,2.3,0,0,2010
11,Chauncey BillupsDEN,PG,6,34.5,20.3,6.2,13.8,44.6,1.8,5.2,35.5,6.2,7.0,88.1,2.3,6.3,1.0,0.5,3.0,1,0,2010
12,Jason RichardsonPHX,SG,16,33.3,19.8,7.0,13.9,50.2,3.0,6.3,47.5,2.8,3.6,75.9,5.4,1.1,1.1,0.3,0.6,1,0,2010
13,Carlos BoozerUTAH,PF,10,40.2,19.7,8.9,16.8,53.0,0.0,0.0,0.0,1.9,3.5,54.3,13.2,3.0,0.4,0.7,2.4,8,0,2010
14,Caron ButlerDAL,SF,6,33.7,19.7,7.2,16.5,43.4,1.2,3.8,30.4,4.2,4.5,92.6,5.8,1.3,1.5,0.8,2.5,1,0,2010
15,Pau GasolLAL,PF,23,39.7,19.6,7.2,13.3,53.9,0.0,0.1,0.0,5.2,6.9,75.9,11.1,3.5,0.4,2.1,1.9,13,0,2010
16,Manu GinobiliSA,G,10,35.2,19.4,5.8,14.0,41.4,2.0,6.0,33.3,5.8,6.7,86.6,3.7,6.0,2.6,0.2,3.0,1,0,2010
17,Tim DuncanSA,C,10,37.3,19.0,7.8,15.0,52.0,0.1,0.2,50.0,3.3,6.9,47.8,9.9,2.6,0.8,1.7,2.4,5,0,2010
17,Jameer NelsonORL,G,14,34.2,19.0,6.5,13.6,47.9,2.4,6.0,39.3,3.6,4.4,82.3,3.6,4.8,1.0,0.0,2.5,0,0,2010
17,LaMarcus AldridgePOR,C,6,38.2,19.0,6.7,15.5,43.0,0.2,0.3,50.0,5.5,7.3,75.0,6.0,2.2,1.2,1.8,1.8,1,0,2010
20,Luol DengCHI,F,5,40.6,18.8,7.4,16.0,46.3,0.2,2.4,8.3,3.8,5.2,73.1,5.0,1.4,1.2,0.8,0.6,0,0,2010
21,Paul PierceBOS,SF,24,38.8,18.8,6.1,14.0,43.8,1.7,4.3,39.2,4.9,5.9,82.4,6.0,3.4,1.0,0.6,2.7,4,0,2010
22,Brandon JenningsMIL,G,7,35.6,18.7,7.0,17.1,40.8,1.7,5.9,29.3,3.0,3.7,80.8,3.0,3.6,1.1,0.6,1.1,0,0,2010
23,Dwight HowardORL,C,14,35.5,18.1,6.1,10.0,61.4,0.0,0.0,0.0,5.9,11.3,51.9,11.1,1.4,0.8,3.5,3.6,7,0,2010
24,Stephen JacksonCHA,SF,4,39.0,18.0,6.0,16.8,35.8,0.8,4.5,16.7,5.3,6.5,80.8,5.0,3.8,1.3,0.3,4.3,0,0,2010
24,Paul MillsapUTAH,PF,10,32.3,18.0,7.0,12.2,57.4,0.0,0.2,0.0,4.0,5.8,69.0,8.8,2.2,1.1,1.4,1.3,4,0,2010
26,Joe JohnsonATL,G,11,40.0,17.9,7.0,18.1,38.7,0.8,3.7,22.0,3.1,3.8,81.0,5.1,5.0,0.9,0.3,2.3,0,0,2010
27,Steve NashPHX,PG,16,33.7,17.8,6.2,11.9,51.8,1.2,3.1,38.0,4.2,4.7,89.3,3.3,10.1,0.3,0.1,3.8,8,0,2010
28,Gerald WallaceCHA,SF,4,41.0,17.5,5.3,11.0,47.7,1.3,2.8,45.5,5.8,8.8,65.7,9.0,2.3,1.3,1.5,0.8,1,0,2010
29,Tony ParkerSA,G,10,33.5,17.3,7.3,15.4,47.4,0.2,0.3,66.7,2.5,4.2,59.5,3.8,5.4,0.6,0.0,2.2,0,0,2010
30,John SalmonsMIL,SF,7,40.7,17.0,6.3,15.6,40.4,0.6,3.3,17.4,3.9,4.0,96.4,3.7,4.0,1.4,0.6,1.7,0,0,2010
31,Jamal CrawfordATL,G,11,31.9,16.3,5.1,14.0,36.4,1.6,4.5,36.0,4.5,5.3,84.5,2.7,2.7,0.8,0.1,1.8,0,0,2010
32,Ray AllenBOS,SG,24,38.5,16.1,5.5,12.7,43.1,2.3,6.0,38.6,2.9,3.3,86.3,3.3,2.6,0.9,0.1,1.5,0,0,2010
33,Rajon RondoBOS,PG,24,40.6,15.8,6.3,13.6,46.3,0.4,1.0,37.5,2.8,4.8,59.6,5.6,9.3,1.9,0.1,3.0,9,2,2010
34,Andre MillerPOR,PG,6,35.0,15.7,5.0,12.3,40.5,0.5,1.2,42.9,5.2,6.7,77.5,3.2,6.0,1.2,0.2,3.2,0,0,2010
35,Vince CarterORL,G,14,34.3,15.5,5.3,13.1,40.2,0.9,3.6,23.5,4.1,4.9,82.6,4.2,2.3,0.9,0.2,1.6,0,0,2010
36,Antawn JamisonCLE,PF,11,34.1,15.3,5.8,12.5,46.7,0.9,3.5,25.6,2.7,3.7,73.2,7.4,1.3,0.6,1.0,1.6,3,0,2010
37,Kevin GarnettBOS,PF,23,33.3,15.0,6.5,13.1,49.5,0.0,0.1,0.0,2.0,2.4,83.9,7.4,2.5,1.1,0.9,1.3,6,0,2010
38,Joakim NoahCHI,C,5,37.6,14.8,5.6,10.6,52.8,0.0,0.0,0.0,3.6,3.8,94.7,13.0,2.6,1.8,1.4,3.0,3,0,2010
39,Al HorfordATL,C,11,35.3,14.6,6.1,11.6,52.3,0.1,0.1,100.0,2.4,2.8,83.9,9.0,1.8,0.7,1.7,1.4,5,0,2010
40,CJ MilesUTAH,G,10,33.7,14.4,4.7,10.6,44.3,1.5,4.6,32.6,3.5,3.9,89.7,2.5,2.8,0.6,0.6,1.9,0,0,2010
41,Mo WilliamsCLE,PG,11,37.4,14.4,4.7,11.5,40.9,1.5,4.7,32.7,3.4,4.2,80.4,3.1,5.4,0.5,0.2,2.1,1,0,2010
42,Josh SmithATL,PF,11,35.6,14.1,5.6,11.7,48.1,0.2,0.5,33.3,2.6,4.0,65.9,9.0,2.6,1.2,1.7,1.5,3,0,2010
43,Jerryd BaylessPOR,G,6,27.7,13.5,4.7,10.8,43.1,1.0,2.5,40.0,3.2,4.0,79.2,2.7,3.8,0.3,0.0,1.3,0,0,2010
44,George HillSA,PG,10,34.4,13.4,4.6,10.2,45.1,1.1,2.9,37.9,3.1,3.7,83.8,3.1,0.7,1.0,0.2,0.8,0,0,2010
45,Wesley MatthewsUTAH,SG,10,37.1,13.2,3.9,10.1,38.6,1.5,4.2,35.7,3.9,4.8,81.3,4.4,1.7,1.8,0.5,1.5,0,0,2010
46,Rashard LewisORL,PF,14,36.6,12.9,4.7,10.2,46.2,2.0,5.4,37.3,1.4,1.8,80.0,5.6,2.3,1.1,0.7,1.8,0,0,2010
47,Jason TerryDAL,G,6,29.0,12.7,4.3,11.5,37.7,2.0,5.0,40.0,2.0,2.7,75.0,2.5,2.0,0.7,0.2,1.0,0,0,2010
48,Kirk HinrichCHI,SG,5,39.2,12.4,4.4,10.4,42.3,1.6,3.2,50.0,2.0,2.8,71.4,4.4,4.0,1.4,0.0,0.4,0,0,2010
49,Jeff GreenOKC,PF,6,37.3,11.8,3.8,11.7,32.9,1.3,4.5,29.6,2.8,3.3,85.0,4.7,1.7,0.7,0.5,1.0,0,0,2010
50,Raymond FeltonCHA,G,4,32.5,11.8,4.3,10.5,40.5,1.0,3.3,30.8,2.3,3.0,75.0,2.5,5.0,0.5,0.0,1.5,0,0,2010
1,Kevin DurantOKC,PF,17,42.5,28.6,9.1,20.3,44.9,2.2,6.4,33.9,8.2,9.8,83.8,8.2,2.8,0.9,1.1,2.5,5,0,2011
2,Dirk NowitzkiDAL,F,21,39.3,27.7,9.1,18.9,48.5,1.1,2.4,46.0,8.3,8.9,94.1,8.1,2.5,0.6,0.6,3.1,7,0,2011
3,Derrick RoseCHI,PG,16,40.6,27.1,9.3,23.5,39.6,1.6,6.3,24.8,6.9,8.4,82.8,4.3,7.7,1.4,0.7,3.7,6,0,2011
4,Dwight HowardORL,C,6,43.0,27.0,8.5,13.5,63.0,0.0,0.2,0.0,10.0,14.7,68.2,15.5,0.5,0.7,1.8,5.5,5,0,2011
5,Carmelo AnthonyNY,PF,4,39.0,26.0,8.3,22.0,37.5,2.3,6.5,34.6,7.3,8.5,85.3,10.3,4.8,1.3,0.8,3.3,2,0,2011
6,Dwyane WadeMIA,G,21,39.4,24.5,8.6,17.8,48.5,0.7,2.5,26.9,6.6,8.5,77.7,7.1,4.4,1.6,1.3,3.0,5,0,2011
7,Russell WestbrookOKC,PG,17,37.5,23.8,7.9,20.2,39.4,0.8,2.8,29.2,7.1,8.4,85.2,5.4,6.4,1.4,0.4,4.6,2,1,2011
8,LeBron JamesMIA,SF,21,43.9,23.7,8.3,17.8,46.6,1.4,4.0,35.3,5.7,7.4,76.3,8.4,5.9,1.7,1.2,3.1,8,1,2011
9,Kobe BryantLAL,SF,10,35.4,22.8,8.3,18.6,44.6,1.2,4.1,29.3,5.0,6.1,82.0,3.4,3.3,1.6,0.3,3.1,0,0,2011
