RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,Year
1,Kevin DurantOKC,PF,82,39.5,30.1,9.7,20.3,47.6,1.6,4.3,36.5,9.2,10.2,90.0,7.6,2.8,1.4,1.0,3.3,25,0,2010
2,LeBron JamesCLE,SF,76,39.0,29.7,10.1,20.1,50.3,1.7,5.1,33.3,7.8,10.2,76.7,7.3,8.6,1.6,1.0,3.4,31,4,2010
3,Carmelo AnthonyDEN,PF,69,38.2,28.2,10.0,21.8,45.8,0.9,2.7,31.6,7.4,8.9,83.0,6.6,3.2,1.3,0.4,3.0,10,0,2010
4,Kobe BryantLAL,SF,73,38.8,27.0,9.8,21.5,45.6,1.4,4.1,32.9,6.0,7.4,81.1,5.4,5.0,1.5,0.3,3.2,7,0,2010
5,Dwyane WadeMIA,G,77,36.3,26.6,9.3,19.6,47.6,0.9,3.2,30.0,6.9,9.1,76.1,4.8,6.5,1.8,1.1,3.3,17,0,2010
6,Monta EllisGS,SG,64,41.4,25.5,9.9,22.0,44.9,1.2,3.6,33.8,4.6,6.1,75.3,4.0,5.3,2.2,0.4,3.8,6,0,2010
7,Dirk NowitzkiDAL,F,81,37.5,25.0,8.9,18.5,48.1,0.6,1.5,42.1,6.6,7.2,91.5,7.7,2.7,0.9,1.0,1.8,19,1,2010
8,Danny GrangerIND,SF,62,36.7,24.1,7.9,18.4,42.8,2.5,7.1,36.1,5.9,6.9,84.8,5.5,2.8,1.5,0.8,2.5,3,0,2010
9,Chris BoshTOR,PF,70,36.1,24.0,8.6,16.5,51.8,0.1,0.3,36.4,6.7,8.4,79.7,10.8,2.4,0.6,1.0,2.4,49,0,2010
10,Amar'e StoudemirePHX,C,82,34.6,23.1,8.6,15.4,55.7,0.0,0.1,16.7,5.9,7.7,77.1,8.9,1.0,0.6,1.0,2.6,31,0,2010
11,Gilbert ArenasWSH,PG,32,36.5,22.6,7.9,19.3,41.1,2.0,5.7,34.8,4.8,6.5,73.9,4.2,7.2,1.3,0.3,3.7,5,1,2010
12,Brandon RoyPOR,SG,65,37.2,21.5,7.6,16.0,47.3,1.1,3.4,33.0,5.3,6.8,78.0,4.4,4.7,0.9,0.2,2.0,1,0,2010
13,Joe JohnsonATL,G,76,38.0,21.3,8.4,18.2,45.8,1.7,4.6,36.9,2.9,3.5,81.8,4.6,4.9,1.1,0.1,1.9,4,0,2010
14,Derrick RoseCHI,PG,78,36.8,20.8,8.6,17.6,48.9,0.2,0.8,26.7,3.3,4.3,76.6,3.8,6.0,0.7,0.3,2.8,6,0,2010
15,Zach RandolphMEM,F,81,37.7,20.8,8.0,16.5,48.8,0.2,0.6,28.8,4.5,5.7,77.8,11.7,1.8,1.0,0.4,2.1,57,0,2010
16,Stephen JacksonGS/CHA,SF,81,38.6,20.6,7.4,17.5,42.3,1.6,4.9,32.8,4.2,5.4,77.9,5.0,3.7,1.6,0.5,3.2,3,0,2010
