RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL BALL SPEED,TOTAL ATTEMPTS,FASTEST SPEED,SLOWEST SPEED,Year
1,1,Bubba Watson,77,182.61,12599.77,69,188.19,175.33,2010
2,2,J.B. Holmes,100,181.6,13075.32,72,187.5,168.87,2010
3,3,Dustin Johnson,83,180.34,11722.16,65,184.66,174.69,2010
4,4,Robert Garrigus,71,179.84,7913.1,44,183.63,173.21,2010
5,5,Ángel Cabrera,64,178.27,9982.91,56,183.56,168.43,2010
6,6,Graham DeLaet,88,177.61,8525.31,48,183.43,170.13,2010
7,7,Aaron Baddeley,94,177.01,14338.18,81,184.55,168.24,2010
8,8,Chris Couch,66,176.65,8302.34,47,182.5,170.97,2010
9,9,Phil Mickelson,76,176.37,8642.28,49,182.39,164.9,2010
10,10,Paul Casey,64,176.24,6168.41,35,181.98,167.65,2010
11,11,Jimmy Walker,82,176.2,9867.27,56,181.63,169.11,2010
12,12,Brett Wetterich,54,175.93,6861.19,39,180.56,163.7,2010
13,13,Martin Flores,75,175.53,9654.27,55,180.34,167.98,2010
14,14,Nick Watney,91,175.18,12612.75,72,179.34,169.9,2010
15,15,Sergio Garcia,58,175.08,6127.82,35,179.27,169.39,2010
16,16,James Driscoll,78,175.01,11025.8,63,179.93,166.65,2010
17,17,Charley Hoffman,85,174.78,12933.46,74,180.77,165.34,2010
18,18,Martin Laird,91,174.77,13282.64,76,182.2,167.71,2010
19,19,Adam Scott,70,174.68,10481.01,60,178.91,169.04,2010
20,20,John Daly,63,174.47,5233.98,30,178.68,159.64,2010
21,21,Jason Day,82,174.26,11326.67,65,178.84,160.08,2010
22,22,Charles Howell III,103,174.05,14968.6,86,178.62,169.39,2010
23,23,Bill Haas,87,173.77,13554.38,78,182.03,166.01,2010
24,24,Davis Love III,79,173.39,10403.61,60,179.13,168.29,2010
25,25,Troy Matteson,84,172.89,11929.29,69,178.07,165.88,2010
26,26,Alex Prugh,88,172.64,12084.53,70,178.49,166.29,2010
27,27,Charles Warren,64,172.52,7418.37,43,177.76,159.47,2010
28,28,Marc Leishman,87,172.43,12414.98,72,177.77,166.88,2010
T29,T29,Derek Lamely,81,172.18,9986.36,58,179.37,165.77,2010
T29,T29,John Senden,103,172.18,14463.05,84,178.39,160.02,2010
31,31,George McNeill,79,172.15,10501.45,61,176.53,163.88,2010
32,32,Lucas Glover,75,172.06,10323.68,60,176.86,162.95,2010
33,33,Rory McIlroy,54,171.93,7220.95,42,180.31,162.42,2010
34,34,Andres Romero,73,171.66,10814.65,63,177.3,164.79,2010
35,35,Matt Jones,89,171.61,12871.06,75,178.18,164.41,2010
36,36,Ricky Barnes,103,171.48,14061.66,82,176.14,164.26,2010
37,37,Greg Owen,69,171.41,10284.49,60,178.18,163.86,2010
38,38,Jeff Overton,89,171.22,11985.7,70,176.17,159.88,2010
39,39,Daniel Chopra,74,171.19,10271.67,60,178.32,159.99,2010
40,40,Stewart Cink,84,171.07,11975.15,70,176.67,164.33,2010
41,41,Padraig Harrington,57,171.01,8037.28,47,176.31,163.72,2010
42,42,Scott Piercy,88,170.89,10937.09,64,177.91,165.13,2010
43,43,Retief Goosen,75,170.77,8880.0,52,175.58,162.5,2010
44,44,J.J. Henry,92,170.68,12288.67,72,178.33,160.5,2010
45,45,Trevor Immelman,55,170.58,6993.75,41,177.22,158.54,2010
46,46,D.J. Trahan,92,170.56,13815.34,81,176.42,162.68,2010
T47,T47,Blake Adams,84,170.43,11759.64,69,174.32,161.72,2010
T47,T47,Jonathan Byrd,85,170.43,12270.92,72,174.51,164.25,2010
49,49,Garth Mulroy,53,170.41,6305.19,37,173.62,166.14,2010
50,50,Stuart Appleby,101,170.15,14632.58,86,176.42,162.61,2010
51,51,Ryan Palmer,84,170.14,12420.1,73,177.34,164.98,2010
52,52,Kevin Streelman,90,169.97,12237.89,72,173.82,164.18,2010
53,53,Bo Van Pelt,104,169.95,13426.36,79,176.11,164.98,2010
54,54,James Nitties,92,169.91,10364.75,61,174.79,162.9,2010
