RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS,FASTEST SPEED,SLOWEST SPEED,Year
1,1,Bubba Watson,77,123.58,8527.05,69,127.76,380745409,2010
2,2,J.B. Holmes,100,122.75,8838.0,72,129.78,400526209,2010
3,3,Chris Couch,66,122.06,5736.8,47,128.29,230021111,2010
4,4,Dustin Johnson,83,121.94,7926.1,65,127.84,400526409,2010
5,5,Robert Garrigus,71,121.92,5364.28,44,126.55,380745409,2010
6,6,Graham DeLaet,88,121.26,5820.56,48,124.77,290669117,2010
7,7,Ángel Cabrera,64,120.63,6755.39,56,123.61,50500309,2010
8,8,Aaron Baddeley,94,119.95,9715.68,81,124.53,380745409,2010
9,9,Phil Mickelson,76,119.56,5858.26,49,123.61,240023417,2010
10,10,Paul Casey,64,119.37,4178.07,35,125.75,380745309,2010
11,11,Jimmy Walker,82,119.27,6679.24,56,125.01,380745409,2010
12,12,Martin Flores,75,119.25,6558.96,55,122.66,150729217,2010
13,13,Brett Wetterich,54,119.1,4644.76,39,122.92,330771304,2010
14,14,Charley Hoffman,85,118.88,8797.09,74,124.55,380745209,2010
15,15,Sergio Garcia,58,118.83,4159.0,35,123.79,330771204,2010
16,16,James Driscoll,78,118.75,7481.35,63,123.36,290669317,2010
17,17,Bill Haas,87,118.55,9246.61,78,123.9,380745409,2010
18,18,Nick Watney,91,118.5,8531.79,72,123.45,400526409,2010
19,19,Adam Scott,70,118.42,7105.46,60,124.98,380745309,2010
20,20,John Daly,63,118.18,3545.39,30,121.44,330771404,2010
21,21,Martin Laird,91,118.12,8976.84,76,124.65,380745409,2010
22,22,Jason Day,82,117.88,7662.23,65,123.26,380745309,2010
23,23,Charles Howell III,103,117.85,10135.37,86,121.09,290669417,2010
24,24,Charles Warren,64,117.7,5060.94,43,121.33,330771404,2010
25,25,Davis Love III,79,117.68,7060.84,60,121.44,290669217,2010
26,26,Troy Matteson,84,117.33,8095.88,69,121.2,290669317,2010
27,27,Alex Prugh,88,117.2,8203.96,70,121.2,20006318,2010
28,28,John Senden,103,117.19,9843.56,84,121.83,380745409,2010
29,29,Daniel Chopra,74,117.06,7023.63,60,121.46,290669317,2010
30,30,Ricky Barnes,103,116.87,9583.74,82,120.59,280773409,2010
31,31,Marc Leishman,87,116.82,8410.93,72,121.56,400526209,2010
32,32,George McNeill,79,116.81,7125.21,61,119.79,460538313,2010
33,33,Andres Romero,73,116.56,7343.28,63,122.23,50500109,2010
34,34,Rory McIlroy,54,116.55,4895.02,42,122.69,400526409,2010
T35,T35,Lucas Glover,75,116.41,6984.58,60,120.19,280773109,2010
T35,T35,Matt Jones,89,116.41,8730.46,75,122.4,380745409,2010
37,37,Derek Lamely,81,116.34,6747.99,58,120.79,280773209,2010
38,38,D.J. Trahan,92,115.99,9394.87,81,121.93,380745309,2010
39,39,Greg Owen,69,115.88,6953.0,60,119.98,370752418,2010
40,40,J.J. Henry,92,115.86,8341.92,72,122.19,380745409,2010
41,41,Jonathan Byrd,85,115.8,8337.52,72,120.91,280773109,2010
42,42,Trevor Immelman,55,115.78,4746.79,41,122.35,370752418,2010
43,43,Jeff Overton,89,115.77,8104.01,70,120.92,330771404,2010
44,44,Scott Piercy,88,115.65,7401.7,64,121.07,290669117,2010
45,45,Kevin Streelman,90,115.6,8323.08,72,119.39,380745409,2010
