RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year
1,1,Robert Garrigus,71,315.5,41009,130,2010
2,2,Bubba Watson,77,309.8,47703,154,2010
3,3,Dustin Johnson,83,308.5,50588,164,2010
4,4,Brett Wetterich,54,307.3,33187,108,2010
5,5,J.B. Holmes,100,307.2,61437,200,2010
T6,T6,John Daly,63,305.7,33623,110,2010
T6,T6,Graham DeLaet,88,305.7,50142,164,2010
8,8,Ángel Cabrera,64,304.5,38362,126,2010
9,9,Charles Warren,64,302.5,35089,116,2010
10,10,D.J. Trahan,92,301.1,55411,184,2010
11,11,Martin Flores,75,300.7,42705,142,2010
12,12,Rory McIlroy,54,300.0,31201,104,2010
13,13,Phil Mickelson,76,299.1,45459,152,2010
14,14,Aaron Baddeley,94,298.9,56202,188,2010
T15,T15,Jason Day,82,298.2,48901,164,2010
T15,T15,Charley Hoffman,85,298.2,49509,166,2010
17,17,Davis Love III,79,297.7,47042,158,2010
18,18,Jeff Overton,89,297.3,50543,170,2010
19,19,Scott Piercy,88,296.8,52242,176,2010
T20,T20,Martin Laird,91,296.5,53669,181,2010
T20,T20,Nick Watney,91,296.5,51883,175,2010
22,22,Troy Matteson,84,296.3,49774,168,2010
23,23,Jarrod Lyle,54,296.2,27253,92,2010
24,24,Andres Romero,73,296.0,43223,146,2010
25,25,Daniel Chopra,74,295.9,43800,148,2010
26,26,Ryan Palmer,84,295.8,49702,168,2010
T27,T27,Lucas Glover,75,295.7,43764,148,2010
T27,T27,Alex Prugh,88,295.7,50856,172,2010
29,29,Garth Mulroy,53,295.6,28967,98,2010
30,30,John Rollins,81,295.5,47863,162,2010
31,31,Marc Leishman,87,295.0,51331,174,2010
32,32,Cameron Tringale,55,294.5,28864,98,2010
33,33,Adam Scott,70,294.4,40045,136,2010
34,34,Charles Howell III,103,294.3,58274,198,2010
35,35,Paul Casey,64,294.2,34125,116,2010
T36,T36,Matt Bettencourt,91,294.0,48798,166,2010
T36,T36,Derek Lamely,81,294.0,44101,150,2010
T36,T36,Cameron Percy,73,294.0,39980,136,2010
39,39,James Driscoll,78,293.9,45843,156,2010
40,40,Mathias Grönberg,61,293.7,32311,110,2010
41,41,George McNeill,79,293.4,46352,158,2010
T42,T42,Bill Haas,87,293.3,51026,174,2010
T42,T42,Matt Jones,89,293.3,52199,178,2010
44,44,Josh Teater,101,293.1,58031,198,2010
45,45,Jimmy Walker,82,292.9,45686,156,2010
46,46,J.J. Henry,92,292.8,49190,168,2010
T47,T47,Rickie Fowler,98,292.7,57363,196,2010
T47,T47,Sergio Garcia,58,292.7,30438,104,2010
T49,T49,Stewart Cink,84,292.4,46786,160,2010
T49,T49,Chris Couch,66,292.4,38592,132,2010
51,51,Vijay Singh,75,292.3,43267,148,2010
52,52,Padraig Harrington,57,292.1,32715,112,2010
T53,T53,Roger Tambellini,77,292.0,40293,138,2010
T53,T53,Bo Van Pelt,104,292.0,60731,208,2010
T55,T55,David Lutterus,69,291.9,36781,126,2010
T55,T55,Boo Weekley,88,291.9,46700,160,2010
57,57,Hunter Mahan,85,291.8,49029,168,2010
T58,T58,Tim Herron,79,291.7,42591,146,2010
T58,T58,Chris Wilson,65,291.7,34421,118,2010
T60,T60,Retief Goosen,75,291.4,41383,142,2010
T60,T60,John Merrick,109,291.4,58862,202,2010
T60,T60,Greg Owen,69,291.4,40218,138,2010
63,63,Blake Adams,84,291.3,47781,164,2010
T64,T64,Jonathan Byrd,85,290.9,49461,170,2010
T64,T64,Matt Every,60,290.9,33750,116,2010
T66,T66,Will MacKenzie,72,290.8,41868,144,2010
T66,T66,Ted Purdy,86,290.8,47685,164,2010
T68,T68,Steve Marino,81,290.6,47079,162,2010
T68,T68,Kenny Perry,69,290.6,39522,136,2010
T70,T70,Paul Stankowski,62,290.3,31354,108,2010
T70,T70,Kevin Streelman,90,290.3,49933,172,2010
T72,T72,John Senden,103,290.2,59781,206,2010
T72,T72,Kevin Stadler,86,290.2,45264,156,2010
74,74,Andrew McLardy,52,289.9,27835,96,2010
T75,T75,Michael Letzig,84,289.7,48665,168,2010
T75,T75,Ryan Moore,80,289.7,45476,157,2010
77,77,Camilo Villegas,78,289.6,41703,144,2010
T78,T78,Mathew Goggin,85,289.3,49181,170,2010
T78,T78,Sean O'Hair,84,289.3,47162,163,2010
T80,T80,Steve Elkington,74,289.2,39333,136,2010
T80,T80,Nicholas Thompson,88,289.2,48593,168,2010
T82,T82,Robert Allenby,76,289.1,42505,147,2010
T82,T82,Rory Sabbatini,79,289.1,43946,152,2010
84,84,Stuart Appleby,101,289.0,57221,198,2010
85,85,Bill Lunde,79,288.9,43329,150,2010
T86,T86,Tom Gillis,97,288.7,56016,194,2010
T86,T86,Jeff Gove,57,288.7,29449,102,2010
T88,T88,Scott McCarron,90,288.6,51943,180,2010
T88,T88,Y.E. Yang,72,288.6,40409,140,2010
T90,T90,Ernie Els,72,288.4,40374,140,2010
T90,T90,Brenden Pappas,66,288.4,35766,124,2010
