RK,Name,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS,Year
1,Matt Kuchar,44,"$4,910,477",2728,26,95,23,11,1,69.4,286.9,67.9,69.4,1.739,56.2,3.968,2010
2,Jim Furyk,52,"$4,809,623",2980,21,74,18,7,3,70.2,276.0,71.0,67.1,1.767,48.0,3.635,2010
3,Ernie Els,53,"$4,558,861",1438,20,70,17,7,2,70.4,288.4,60.2,67.9,1.768,48.4,3.786,2010
4,Dustin Johnson,38,"$4,473,122",2493,23,82,20,7,2,70.5,308.5,56.4,68.0,1.767,44.8,3.939,2010
5,Steve Stricker,55,"$4,190,236",2028,19,72,19,9,2,69.8,282.9,68.5,68.3,1.746,54.8,3.889,2010
6,Phil Mickelson,52,"$3,821,733",842,20,76,18,6,1,70.3,299.1,52.7,65.1,1.762,53.6,3.895,2010
7,Luke Donald,45,"$3,665,234",2700,20,68,16,7,0,70.3,277.0,62.4,65.3,1.751,65.8,3.544,2010
8,Paul Casey,45,"$3,613,194",2250,17,58,14,7,0,69.9,294.2,61.3,68.7,1.753,47.9,3.879,2010
9,Justin Rose,42,"$3,603,331",718,22,78,16,4,2,69.9,287.8,65.2,66.3,1.76,58.8,3.872,2010
10,Hunter Mahan,40,"$3,574,550",677,25,84,19,3,2,70.6,291.8,67.9,68.7,1.797,45.8,3.536,2010
11,Lee Westwood,49,"$3,564,954",0,11,38,10,6,1,70.3,0.0,0.0,0.0,0.0,0.0,3.789,2010
12,Tim Clark,47,"$3,530,003",592,24,85,20,7,1,70.3,272.2,73.7,66.7,1.756,61.6,3.518,2010
13,Jeff Overton,39,"$3,456,356",480,26,89,18,6,0,70.3,297.3,55.4,63.9,1.753,51.1,3.764,2010
14,Bo Van Pelt,47,"$3,336,258",445,28,104,24,8,0,70.1,292.0,65.2,69.2,1.776,54.7,3.856,2010
15,Retief Goosen,53,"$3,218,089",1360,19,71,18,10,0,70.0,291.4,64.8,66.0,1.766,54.6,3.746,2010
16,Bubba Watson,44,"$3,198,998",600,22,77,16,4,1,70.2,309.8,55.7,68.5,1.763,47.0,3.935,2010
17,Camilo Villegas,41,"$3,035,523",622,20,72,18,7,1,70.9,289.6,61.7,66.0,1.797,50.8,3.5,2010
18,Ryan Palmer,46,"$2,985,297",595,27,84,15,5,1,70.6,295.8,57.2,65.5,1.744,52.4,3.917,2010
19,Robert Allenby,51,"$2,974,998",500,22,75,18,5,0,69.6,289.1,64.8,68.2,1.77,55.6,3.68,2010
20,Zach Johnson,46,"$2,916,993",683,25,91,23,3,1,70.6,279.7,71.2,66.5,1.739,56.3,3.791,2010
21,Bill Haas,40,"$2,905,137",0,25,87,18,4,2,70.2,293.3,64.2,69.9,1.774,44.5,3.713,2010
22,Jason Day,35,"$2,904,327",1660,24,83,18,5,1,69.6,298.2,57.8,67.7,1.777,54.8,3.627,2010
23,Rickie Fowler,34,"$2,857,108",0,28,98,20,7,0,70.3,292.7,64.2,69.9,1.779,42.7,3.602,2010
24,Ben Crane,46,"$2,841,500",550,24,82,19,5,1,70.3,282.3,71.1,68.2,1.752,52.7,3.793,2010
25,Anthony Kim,37,"$2,574,921",0,14,44,10,4,1,70.9,0.0,0.0,0.0,0.0,0.0,3.5,2010
26,Charley Hoffman,46,"$2,559,646",2500,24,85,18,5,1,69.9,298.2,61.6,65.0,1.752,50.0,3.953,2010
27,Rory McIlroy,33,"$2,554,280",0,16,52,12,5,1,70.9,300.0,62.6,66.2,1.795,52.5,3.442,2010
28,Nick Watney,41,"$2,536,714",880,24,88,22,8,0,70.4,296.5,62.6,69.6,1.764,43.3,4.011,2010
29,Adam Scott,42,"$2,489,402",640,20,68,16,4,1,70.8,294.4,62.9,69.6,1.799,53.0,3.632,2010
30,Geoff Ogilvy,45,"$2,393,045",752,19,60,13,2,1,70.8,287.0,57.9,67.7,1.752,57.3,3.917,2010
31,Heath Slocum,48,"$2,387,687",0,25,97,23,5,1,70.5,278.9,72.4,66.7,1.802,50.0,3.485,2010
32,J.B. Holmes,40,"$2,386,248",0,26,100,24,3,0,70.2,307.2,54.5,65.5,1.77,52.8,3.81,2010
33,Ryan Moore,40,"$2,374,823",613,24,79,18,6,0,70.7,289.7,68.0,66.7,1.768,45.8,3.671,2010
34,Martin Kaymer,38,"$2,356,460",0,10,30,7,4,1,71.0,0.0,0.0,0.0,0.0,0.0,3.533,2010
35,K.J. Choi,52,"$2,199,962",717,22,82,19,4,0,70.4,283.1,66.0,65.2,1.774,59.1,3.622,2010
36,Brendon de Jonge,42,"$2,167,979",0,32,114,24,7,0,70.1,286.9,65.5,65.2,1.759,48.8,3.763,2010
37,Martin Laird,40,"$2,137,928",1005,26,91,18,4,0,70.8,296.5,60.3,67.8,1.794,51.6,3.495,2010
38,Ian Poulter,47,"$2,079,664",0,15,49,11,2,1,71.5,286.8,62.7,62.5,1.804,54.6,3.143,2010
39,Kevin Na,39,"$2,021,815",570,26,93,23,4,0,70.0,278.6,66.5,65.9,1.752,54.8,3.753,2010
40,Stuart Appleby,51,"$1,965,825",0,31,101,19,3,1,71.2,289.0,59.8,60.6,1.778,49.1,3.297,2010
41,Carl Pettersson,45,"$1,934,465",0,29,99,20,4,1,70.3,282.1,62.8,58.6,1.736,62.9,3.535,2010
42,Jason Bohn,49,"$1,904,763",0,25,84,16,2,1,70.6,279.8,66.9,67.8,1.755,40.9,3.619,2010
43,Sean O'Hair,40,"$1,859,040",0,25,82,19,3,0,70.8,289.3,64.0,68.2,1.817,48.2,3.293,2010
44,Graeme McDowell,43,"$1,848,637",0,10,30,7,2,1,71.1,0.0,0.0,0.0,0.0,0.0,3.867,2010
45,Vaughn Taylor,46,"$1,838,862",0,26,87,17,6,0,70.6,284.4,68.3,68.3,1.767,51.0,3.736,2010
46,Ricky Barnes,41,"$1,835,195",0,28,103,23,6,0,70.5,285.5,58.4,68.2,1.776,54.3,3.612,2010
47,Charl Schwartzel,38,"$1,710,845",0,11,36,9,3,0,71.5,0.0,0.0,0.0,0.0,0.0,3.361,2010
48,Freddie Jacobson,48,"$1,666,252",0,24,83,18,3,0,70.2,283.1,62.2,67.8,1.766,50.0,3.651,2010
49,Scott Verplank,58,"$1,653,190",0,22,73,16,3,0,71.0,278.6,68.2,63.9,1.759,48.3,3.425,2010
50,Brian Davis,48,"$1,640,516",0,32,101,18,2,0,71.1,278.9,68.3,63.1,1.786,54.2,3.257,2010
1,Luke Donald,45,"$6,683,215",3316,19,67,17,14,2,69.3,284.1,64.3,67.3,1.7,59.1,4.239,2011
2,Webb Simpson,37,"$6,347,354",3295,26,98,23,12,2,69.2,296.2,61.9,69.8,1.731,52.0,4.235,2011
3,Nick Watney,41,"$5,290,674",1645,22,77,19,10,2,69.6,301.9,58.2,66.9,1.738,48.1,4.104,2011
4,K.J. Choi,52,"$4,434,691",1529,22,75,18,8,1,70.5,285.6,62.0,65.9,1.787,55.6,3.453,2011
5,Dustin Johnson,38,"$4,309,962",2515,21,71,17,6,1,70.7,314.2,57.2,68.4,1.759,41.5,4.197,2011
6,Matt Kuchar,44,"$4,233,920",2478,24,88,22,9,0,69.6,286.2,64.7,67.0,1.735,58.9,3.943,2011
7,Bill Haas,40,"$4,088,637",3033,26,92,22,7,1,70.1,296.6,63.6,69.4,1.775,43.9,3.707,2011
8,Steve Stricker,55,"$3,992,785",1280,19,69,18,5,2,69.3,288.8,62.5,66.0,1.71,52.1,4.275,2011
9,Jason Day,35,"$3,962,647",1961,21,73,18,10,0,69.9,302.6,54.7,64.9,1.737,61.0,4.014,2011
10,David Toms,56,"$3,858,090",940,23,79,16,7,1,68.7,279.1,71.8,66.6,1.749,55.9,3.886,2011
11,Adam Scott,42,"$3,764,797",998,18,59,14,7,1,70.2,299.7,64.0,68.1,1.772,55.7,3.797,2011
12,Phil Mickelson,52,"$3,763,488",1045,21,77,20,7,1,70.2,299.8,53.2,67.0,1.778,52.2,3.857,2011
13,Keegan Bradley,36,"$3,758,600",920,28,91,18,4,2,70.6,300.7,61.5,63.0,1.767,39.3,3.692,2011
14,Brandt Snedeker,42,"$3,587,206",2092,26,85,16,7,1,69.9,287.2,64.0,64.9,1.727,49.7,3.776,2011
15,Hunter Mahan,40,"$3,503,540",1972,25,89,22,9,0,70.0,291.6,62.9,68.8,1.751,51.4,4.056,2011
16,Bubba Watson,44,"$3,477,811",782,22,79,19,3,2,70.6,314.9,56.9,69.8,1.785,38.7,3.911,2011
17,Gary Woodland,38,"$3,448,591",1035,25,93,21,6,1,70.1,310.5,58.1,69.4,1.793,42.6,3.957,2011
18,Justin Rose,42,"$3,401,420",0,23,77,18,5,1,70.5,290.6,63.3,69.5,1.784,58.2,3.688,2011
19,Mark Wilson,48,"$3,158,477",805,26,87,19,4,2,70.6,284.8,67.6,66.0,1.782,55.2,3.368,2011
20,Aaron Baddeley,41,"$3,094,693",1252,22,77,17,5,1,70.2,296.2,55.7,63.8,1.741,54.4,4.078,2011
21,Jason Dufner,45,"$3,057,860",987,23,78,15,6,0,70.4,286.8,65.8,67.0,1.783,54.1,3.679,2011
22,Jonathan Byrd,44,"$2,938,921",805,26,82,17,5,1,70.6,291.6,60.3,65.7,1.768,50.4,3.549,2011
23,Martin Laird,40,"$2,676,509",0,23,76,17,6,1,70.2,303.0,58.5,66.6,1.761,44.2,3.855,2011
24,Charl Schwartzel,38,"$2,604,558",372,15,56,15,3,1,70.5,297.0,61.7,66.0,1.78,47.9,3.625,2011
25,Charles Howell III,43,"$2,509,223",891,30,108,25,7,0,69.9,297.3,57.5,66.4,1.79,54.2,3.472,2011
26,Freddie Jacobson,48,"$2,488,325",680,25,92,21,3,1,70.2,287.4,60.8,58.0,1.739,52.7,3.761,2011
