RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,Year
1,1,Patrick Cantlay,8,81.25,117,144,-0.44,2010
2,2,Jon Rahm,8,79.86,115,144,-0.42,2010
3,3,Collin Morikawa,16,78.82,227,288,-0.3,2010
4,4,K.H. Lee,24,77.08,333,432,-0.32,2010
5,5,Rickie Fowler,14,76.98,194,252,-0.27,2010
6,T6,Tom Kim,18,76.54,248,324,-0.33,2010
T7,T6,Akshay Bhatia,8,76.39,110,144,-0.27,2010
T7,T6,Matt Fitzpatrick,8,76.39,110,144,-0.35,2010
T7,T6,Justin Thomas,8,76.39,110,144,-0.31,2010
10,T10,Scottie Scheffler,16,75.69,218,288,-0.33,2010
T11,T18,Andrew Novak,10,75.56,136,180,-0.24,2010
T11,12,Xander Schauffele,5,75.56,68,90,-0.29,2010
13,13,Cameron Young,12,75.46,163,216,-0.32,2010
14,38,Corey Conners,18,75.31,244,324,-0.3,2010
T15,T14,Sean O'Hair,6,75.0,81,108,-0.3,2010
T15,23,J.J. Spaun,32,75.0,432,576,-0.29,2010
17,T14,Brian Harman,24,74.77,323,432,-0.34,2010
T18,T24,Russell Henley,20,74.72,269,360,-0.29,2010
T18,39,Si Woo Kim,20,74.72,269,360,-0.28,2010
20,T10,Tom Hoge,28,74.6,376,504,-0.34,2010
21,22,Emiliano Grillo,26,74.57,349,468,-0.28,2010
22,T20,J.T. Poston,24,74.54,322,432,-0.3,2010
23,16,Tony Finau,10,74.44,134,180,-0.42,2010
24,32,Hayden Buckley,26,74.36,348,468,-0.33,2010
25,T18,Mito Pereira,12,74.07,160,216,-0.3,2010
26,T28,Ben Taylor,30,73.89,399,540,-0.27,2010
T27,T24,Max Homa,16,73.61,212,288,-0.39,2010
T27,T20,Kevin Yu,24,73.61,318,432,-0.34,2010
T29,T26,Matthew NeSmith,20,73.33,264,360,-0.31,2010
T29,T26,Justin Rose,10,73.33,132,180,-0.3,2010
31,T28,Davis Riley,26,73.29,343,468,-0.24,2010
32,30,Taylor Pendrith,16,73.26,211,288,-0.23,2010
33,T40,Nick Hardy,26,73.08,342,468,-0.31,2010
34,31,Jason Day,20,73.06,263,360,-0.29,2010
35,,Adam Scott,8,72.92,105,144,-0.34,2010
T36,33,Joel Dahmen,26,72.86,341,468,-0.31,2010
T36,T42,Ben Martin,26,72.86,341,468,-0.26,2010
38,T35,Cameron Percy,10,72.78,131,180,-0.24,2010
39,T35,Kurt Kitayama,14,72.62,183,252,-0.28,2010
T40,34,Will Gordon,32,72.57,418,576,-0.31,2010
T40,T42,Dylan Wu,16,72.57,209,288,-0.24,2010
42,T54,Matt Kuchar,18,72.53,235,324,-0.26,2010
43,T40,Sepp Straka,22,72.47,287,396,-0.28,2010
T44,T54,Aaron Baddeley,18,72.22,234,324,-0.31,2010
T44,T72,Jonathan Byrd,8,72.22,104,144,-0.2,2010
T44,T46,Russell Knox,34,72.22,442,612,-0.27,2010
T44,T42,Seamus Power,26,72.22,338,468,-0.36,2010
48,T64,Aaron Rai,28,72.02,363,504,-0.27,2010
49,45,Dean Burmester,18,71.91,233,324,-0.32,2010
50,48,Luke List,24,71.76,310,432,-0.23,2010
T51,50,Adam Hadwin,20,71.67,258,360,-0.33,2010
T51,T51,Jordan Spieth,10,71.67,129,180,-0.33,2010
53,61,Alex Smalley,28,71.63,361,504,-0.3,2010
54,17,Keegan Bradley,18,71.6,232,324,-0.32,2010
55,T51,Viktor Hovland,16,71.53,206,288,-0.37,2010
56,T72,Vincent Norrman,14,71.43,180,252,-0.27,2010
57,49,Adam Schenk,26,71.37,334,468,-0.25,2010
T58,T97,Cam Davis,18,71.3,231,324,-0.31,2010
T58,T56,James Hahn,12,71.3,154,216,-0.25,2010
T58,,Kyle Stanley,6,71.3,77,108,-0.12,2010
61,T46,Gary Woodland,17,71.24,218,306,-0.26,2010
62,T56,Davis Thompson,22,71.21,282,396,-0.28,2010
63,82,Adam Svensson,34,71.08,435,612,-0.25,2010
64,71,Ryan Armour,24,71.06,307,432,-0.27,2010
65,T72,Brendan Steele,19,71.05,243,342,-0.26,2010
66,37,Billy Horschel,14,71.03,179,252,-0.31,2010
T67,60,Andrew Putnam,36,70.99,460,648,-0.27,2010
T67,T88,Carl Yuan,18,70.99,230,324,-0.32,2010
T69,T56,Matthias Schwab,26,70.94,332,468,-0.23,2010
T69,63,Sahith Theegala,26,70.94,332,468,-0.33,2010
71,87,Ben Griffin,30,70.93,383,540,-0.32,2010
T72,,Keita Nakajima,8,70.83,102,144,-0.26,2010
T72,T64,Henrik Norlander,20,70.83,255,360,-0.24,2010
T72,T138,Doc Redman,12,70.83,153,216,-0.22,2010
T75,T88,Brice Garnett,18,70.68,229,324,-0.29,2010
T75,T69,Chesson Hadley,18,70.68,229,324,-0.3,2010
77,62,Greyson Sigg,28,70.63,356,504,-0.35,2010
T78,T67,Scott Stallings,20,70.56,254,360,-0.31,2010
T78,T67,Callum Tarren,20,70.56,254,360,-0.31,2010
80,101,Justin Suh,26,70.51,330,468,-0.28,2010
81,T69,Charley Hoffman,16,70.49,203,288,-0.26,2010
T82,100,Stephan Jaeger,30,70.37,380,540,-0.32,2010
T82,T72,Sung Kang,6,70.37,76,108,-0.28,2010
T82,T72,Matt Wallace,18,70.37,228,324,-0.25,2010
T82,T80,Kyle Westmoreland,18,70.37,228,324,-0.25,2010
86,T72,Kevin Streelman,26,70.3,329,468,-0.26,2010
T87,T88,Stewart Cink,20,70.28,253,360,-0.33,2010
T87,78,Alex Noren,20,70.28,253,360,-0.28,2010
89,79,Cameron Champ,14,70.24,177,252,-0.21,2010
90,T80,Wyndham Clark,24,70.14,303,432,-0.29,2010
91,T51,Sungjae Im,18,70.06,227,324,-0.34,2010
92,T131,Nate Lashley,22,69.95,277,396,-0.28,2010
T93,T56,Trevor Cone,14,69.84,176,252,-0.27,2010
T93,83,Erik van Rooyen,7,69.84,88,126,-0.25,2010
95,84,Patrick Rodgers,30,69.81,377,540,-0.33,2010
96,85,Aaron Wise,20,69.72,251,360,-0.37,2010
97,86,Justin Lower,24,69.68,301,432,-0.34,2010
98,94,Chad Ramey,28,69.64,351,504,-0.27,2010
99,105,David Lipsky,25,69.56,313,450,-0.26,2010
T100,T88,Chris Gotterup,12,69.44,150,216,-0.33,2010
T100,,Kazuki Higa,8,69.44,100,144,-0.25,2010
T100,T88,Hank Lebioda,6,69.44,75,108,-0.2,2010
T100,T64,Michael Thompson,16,69.44,200,288,-0.28,2010
