RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE,Year
1,1,Steve Stricker,73,424,SBS Championshi,2,7,656,2010
2,2,Bubba Watson,77,416,Sony Open,1,8,6,2010
3,3,Boo Weekley,88,415,WGC-Bridgestone,4,16,36,2010
4,4,Dustin Johnson,83,414,SBS Championshi,3,7,656,2010
5,5,Paul Casey,64,412,WGC-Bridgestone,4,16,36,2010
T7,T7,Lucas Glover,75,406,SBS Championshi,3,18,656,2010
T7,T7,Nick Watney,91,406,SBS Championshi,1,17,656,2010
T9,T9,Ángel Cabrera,64,405,SBS Championshi,2,12,656,2010
T9,T9,D.J. Trahan,92,405,The Greenbrier,1,6,771,2010
T11,T11,John Daly,63,404,Sony Open,1,8,6,2010
T11,T11,Robert Garrigus,71,404,Reno-Tahoe Open,4,17,660,2010
T11,T11,Jeff Overton,89,404,WGC-Bridgestone,4,16,36,2010
14,14,Ryan Palmer,84,402,WGC-Bridgestone,4,16,36,2010
T17,T17,Stephen Ames,75,399,SBS Championshi,3,7,656,2010
T17,T17,J.B. Holmes,100,399,HP Byron Nelson,4,3,19,2010
T17,T17,Troy Matteson,84,399,SBS Championshi,4,6,656,2010
T17,T17,Bo Van Pelt,104,399,SBS Championshi,3,7,656,2010
T23,T23,Geoff Ogilvy,62,398,SBS Championshi,3,7,656,2010
T26,T26,Peter Hanson,25,397,WGC-Bridgestone,4,16,36,2010
T26,T26,Sean O'Hair,84,397,SBS Championshi,3,7,656,2010
T29,T29,John Rollins,81,396,SBS Championshi,2,17,656,2010
T32,T32,Ernie Els,72,395,WGC-Bridgestone,4,8,36,2010
T32,T32,Retief Goosen,75,395,SBS Championshi,3,7,656,2010
T32,T32,Zach Johnson,93,395,SBS Championshi,2,17,656,2010
T32,T32,Kenny Perry,69,395,SBS Championshi,3,7,656,2010
T32,T32,Rory Sabbatini,79,395,SBS Championshi,3,18,656,2010
T45,T45,Ryan Moore,80,393,SBS Championshi,2,7,656,2010
T45,T45,Pat Perez,90,393,SBS Championshi,2,12,656,2010
T45,T45,Y.E. Yang,72,393,SBS Championshi,4,7,656,2010
T60,T60,Martin Laird,91,391,SBS Championshi,3,18,656,2010
T64,T64,Sergio Garcia,58,390,WGC-Bridgestone,4,16,36,2010
T67,T67,Padraig Harrington,57,389,WGC-Bridgestone,4,16,36,2010
T67,T67,Louis Oosthuizen,14,389,WGC-Bridgestone,4,8,36,2010
T75,T75,Stewart Cink,84,387,SBS Championshi,3,18,656,2010
T75,T75,Ross Fisher,29,387,WGC-Bridgestone,4,16,36,2010
T75,T75,Mark Wilson,87,387,SBS Championshi,1,7,656,2010
T82,T82,Mike Heinen,2,386,Reno-Tahoe Open,2,17,660,2010
T88,T88,Daniel Miernicki,2,385,Reno-Tahoe Open,1,9,660,2010
T91,T91,Jason Day,82,384,PGA Championshi,2,11,706,2010
T91,T91,Derek Lamely,81,384,The Greenbrier,3,6,771,2010
T91,T91,Kevin Streelman,90,384,Zurich Classic,4,7,714,2010
T91,T91,Charles Warren,64,384,Reno-Tahoe Open,4,5,660,2010
T97,T97,Robert Karlsson,40,383,WGC-Bridgestone,4,16,36,2010
T97,T97,Matt Kuchar,97,383,SBS Championshi,2,7,656,2010
T104,T104,Graham DeLaet,88,382,Reno-Tahoe Open,2,18,660,2010
T104,T104,Adam Scott,70,382,WGC-Bridgestone,4,9,36,2010
T111,T111,Matt Bettencourt,91,381,Reno-Tahoe Open,4,17,660,2010
T115,T115,Harrison Frazar,44,380,Texas Open,3,4,770,2010
T115,T115,Alvaro Quiros,27,380,Phoenix Open,3,13,510,2010
T115,T115,Jimmy Walker,82,380,HP Byron Nelson,3,10,19,2010
T125,T125,Michael Bradley,77,379,SBS Championshi,1,18,656,2010
T125,T125,Ted Purdy,86,379,Transitions Chp,2,10,665,2010
T135,T135,Heath Slocum,97,378,SBS Championshi,2,12,656,2010
T147,T147,Mathias Grönberg,61,377,Reno-Tahoe Open,1,14,660,2010
T147,T147,Brandt Jobe,4,377,HP Byron Nelson,4,1,19,2010
T147,T147,Phil Mickelson,76,377,WGC-CA Champ,1,14,8,2010
T153,T153,Jonathan Byrd,85,376,Turning Stone,2,18,730,2010
T166,T166,Jerry Kelly,99,375,SBS Championshi,4,18,656,2010
T166,T166,Hunter Mahan,85,375,WGC-Bridgestone,4,16,36,2010
T166,T166,George McNeill,79,375,Sony Open,2,18,6,2010
