RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR,Year
1,1,Robert Garrigus,71,72.31,94,130,-0.05,2010
2,2,Bubba Watson,77,66.0,99,150,-0.35,2010
3,3,Dustin Johnson,83,65.71,92,140,-0.33,2010
4,4,Brett Wetterich,54,62.96,68,108,-0.06,2010
5,5,J.B. Holmes,100,61.98,119,192,-0.25,2010
6,6,Charles Warren,64,58.93,66,112,-0.08,2010
7,7,John Daly,63,58.82,60,102,-0.05,2010
8,8,Ángel Cabrera,64,58.49,62,106,-0.21,2010
9,9,Graham DeLaet,88,57.93,95,164,-0.23,2010
10,10,Rory McIlroy,54,51.14,45,88,-0.33,2010
T11,T11,Aaron Baddeley,94,50.0,92,184,-0.08,2010
T11,T11,Phil Mickelson,76,50.0,64,128,-0.19,2010
T11,T11,D.J. Trahan,92,50.0,92,184,-0.16,2010
14,14,Martin Flores,75,49.3,70,142,-0.16,2010
15,15,Davis Love III,79,48.63,71,146,-0.34,2010
16,16,Charley Hoffman,85,46.39,77,166,-0.30,2010
17,17,Troy Matteson,84,45.24,76,168,-0.08,2010
18,18,Jarrod Lyle,54,44.57,41,92,-0.17,2010
19,19,Jason Day,82,44.23,69,156,-0.19,2010
20,20,Nick Watney,91,44.08,67,152,-0.31,2010
21,21,Alex Prugh,88,43.02,74,172,-0.30,2010
22,22,Scott Piercy,88,42.05,74,176,-0.15,2010
23,23,Cameron Percy,73,41.67,55,132,-0.13,2010
24,24,Adam Scott,70,41.38,48,116,-0.33,2010
25,25,Andres Romero,73,41.1,60,146,-0.07,2010
26,26,Martin Laird,91,41.01,73,178,-0.23,2010
27,27,Garth Mulroy,53,40.82,40,98,-0.18,2010
28,28,Charles Howell III,103,39.9,79,198,-0.25,2010
29,29,Mathias Grönberg,61,39.62,42,106,-0.29,2010
30,30,Daniel Chopra,74,39.19,58,148,-0.22,2010
31,31,Jimmy Walker,82,39.1,61,156,-0.15,2010
32,32,Sergio Garcia,58,38.75,31,80,-0.32,2010
33,33,Roger Tambellini,77,38.41,53,138,-0.15,2010
34,34,Jeff Overton,89,38.27,62,162,-0.10,2010
35,35,Paul Casey,64,37.5,36,96,-0.33,2010
36,36,Ryan Palmer,84,37.2,61,164,-0.16,2010
37,37,Lucas Glover,75,37.1,46,124,-0.41,2010
38,38,Derek Lamely,81,36.99,54,146,-0.11,2010
39,39,Matt Bettencourt,91,36.71,58,158,-0.36,2010
40,40,J.J. Henry,92,36.59,60,164,-0.35,2010
T41,T41,Stewart Cink,84,35.71,50,140,-0.30,2010
T41,T41,George McNeill,79,35.71,55,154,-0.05,2010
T41,T41,John Rollins,81,35.71,55,154,-0.05,2010
44,44,Greg Owen,69,35.51,49,138,-0.06,2010
45,45,Padraig Harrington,57,35.42,34,96,-0.09,2010
46,46,John Merrick,109,35.35,70,198,-0.16,2010
47,47,Kevin Stadler,86,35.26,55,156,-0.20,2010
48,48,David Lutterus,69,34.92,44,126,-0.20,2010
49,49,Cameron Tringale,55,34.69,34,98,-0.24,2010
50,50,James Driscoll,78,34.62,54,156,-0.28,2010
T51,T51,Rickie Fowler,98,34.57,65,188,-0.15,2010
T51,T51,Bill Haas,87,34.57,56,162,-0.21,2010
53,53,Matt Every,60,34.48,40,116,-0.35,2010
54,54,Josh Teater,101,34.34,68,198,-0.21,2010
55,55,Chris Wilson,65,33.9,40,118,-0.28,2010
56,56,Boo Weekley,88,33.75,54,160,-0.15,2010
57,57,Blake Adams,84,33.54,55,164,-0.25,2010
T58,T58,Bill Lunde,79,33.33,50,150,-0.18,2010
T58,T58,Andrew McLardy,52,33.33,32,96,+0.06,2010
60,60,Matt Jones,89,33.15,59,178,-0.20,2010
61,61,Brenden Pappas,66,33.06,41,124,-0.15,2010
T62,T62,Vijay Singh,75,32.81,42,128,-0.17,2010
T62,T62,Bo Van Pelt,104,32.81,63,192,-0.32,2010
64,64,Michael Letzig,84,32.74,55,168,-0.27,2010
65,65,John Senden,103,32.63,62,190,-0.21,2010
66,66,Marc Leishman,87,32.28,51,158,-0.24,2010
67,67,Will MacKenzie,72,31.25,45,144,-0.09,2010
68,68,Chris Couch,66,31.06,41,132,-0.24,2010
69,69,Steve Elkington,74,30.88,42,136,-0.38,2010
70,70,Steve Marino,81,30.43,42,138,+0.02,2010
71,71,Tom Gillis,97,30.41,59,194,-0.27,2010
72,72,Kenny Perry,69,30.17,35,116,-0.11,2010
73,73,Retief Goosen,75,29.66,35,118,-0.26,2010
74,74,David Duval,71,29.51,36,122,-0.31,2010
75,75,Tim Herron,79,29.45,43,146,-0.28,2010
76,76,Scott McCarron,90,29.44,53,180,-0.30,2010
77,77,Ted Purdy,86,29.27,48,164,-0.10,2010
T78,T78,Ernie Els,72,29.17,35,120,-0.29,2010
T78,T78,Nicholas Thompson,88,29.17,49,168,-0.14,2010
T78,T78,Camilo Villegas,78,29.17,35,120,-0.43,2010
81,81,Kevin Sutherland,86,29.07,50,172,-0.34,2010
82,82,Hunter Mahan,85,29.05,43,148,-0.23,2010
83,83,Jeev Milkha Singh,59,28.85,30,104,-0.20,2010
84,84,Henrik Bjornstad,72,28.79,38,132,-0.24,2010
85,85,Sean O'Hair,84,28.57,40,140,-0.25,2010
86,86,Rory Sabbatini,79,28.47,41,144,-0.34,2010
87,87,Stuart Appleby,101,28.42,54,190,-0.37,2010
88,88,Jonathan Byrd,85,28.24,48,170,-0.21,2010
89,89,Brendon de Jonge,114,27.94,57,204,-0.28,2010
90,90,Roland Thatcher,72,27.78,40,144,+0.03,2010
91,91,Jeff Gove,57,27.45,28,102,-0.14,2010
92,92,Mathew Goggin,85,27.11,45,166,-0.16,2010
93,93,Chris Stroud,90,26.92,42,156,-0.29,2010
94,94,Chris Tidland,77,26.71,39,146,-0.26,2010
95,95,Bob Estes,79,26.62,41,154,-0.24,2010
96,96,Kevin Streelman,90,26.16,45,172,-0.33,2010
97,97,Kris Blanks,91,25.9,43,166,-0.19,2010
T98,T98,Rich Barcelo,70,25.81,32,124,-0.06,2010
T98,T98,Joe Ogilvie,99,25.81,48,186,-0.29,2010
100,100,Troy Merritt,86,25.6,43,168,-0.16,2010
101,101,Pat Perez,90,25.56,46,180,-0.28,2010
102,102,Ryan Moore,80,25.36,35,138,-0.17,2010
T103,T103,Robert Allenby,76,25.0,31,124,-0.29,2010
T103,T103,Geoff Ogilvy,62,25.0,26,104,-0.42,2010
T103,T103,Justin Rose,78,25.0,38,152,-0.37,2010
T103,T103,Vance Veazey,58,25.0,26,104,-0.04,2010
107,107,Lee Janzen,77,24.68,38,154,-0.18,2010
