RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year
1,T1,Xander Schauffele,5,100.0,4,4,E,2010
2,T1,Andrew Novak,10,91.67,11,12,-2.00,2010
3,T3,Matt Kuchar,18,84.62,11,13,+1.00,2010
T4,T13,Corey Conners,18,83.33,10,12,-2.00,2010
T4,T3,William McGirt,6,83.33,5,6,E,2010
6,6,Byeong Hun An,30,82.5,33,40,-1.00,2010
7,5,Justin Rose,10,80.0,4,5,+1.00,2010
8,7,Charley Hoffman,16,76.47,13,17,+1.00,2010
T9,T8,Kevin Kisner,8,75.0,3,4,E,2010
T9,T114,Kurt Kitayama,14,75.0,12,16,+2.00,2010
T9,T8,Danny Willett,14,75.0,6,8,+1.00,2010
12,15,S.H. Kim,30,73.53,25,34,+2.00,2010
13,12,Collin Morikawa,16,72.73,8,11,+2.00,2010
14,16,Sungjae Im,18,72.22,13,18,+1.00,2010
15,20,J.J. Spaun,32,72.0,18,25,+3.00,2010
16,T13,Erik van Rooyen,7,71.43,5,7,+1.00,2010
17,17,Mito Pereira,12,69.23,9,13,+1.00,2010
18,T18,Thomas Detry,20,68.57,24,35,+2.00,2010
19,T21,Joseph Bramlett,28,68.42,26,38,+1.00,2010
20,32,Robby Shelton,28,67.5,27,40,+4.00,2010
21,T21,Andrew Putnam,36,67.39,31,46,+3.00,2010
22,T18,Taylor Montgomery,32,67.35,33,49,+5.00,2010
T23,T21,Cameron Champ,14,66.67,8,12,-1.00,2010
T23,T21,Kramer Hickok,16,66.67,10,15,+2.00,2010
T23,T21,Lee Hodges,24,66.67,12,18,-1.00,2010
T23,T21,Vaughn Taylor,6,66.67,6,9,+2.00,2010
T27,T35,Will Gordon,32,65.38,34,52,+3.00,2010
T27,T21,Chris Kirk,24,65.38,17,26,+4.00,2010
29,T45,Hideki Matsuyama,22,65.22,15,23,+5.00,2010
30,11,Cam Davis,18,65.0,13,20,+1.00,2010
T31,T89,Kelly Kraft,10,64.71,11,17,+7.00,2010
T31,T33,Andrew Landry,16,64.71,22,34,+9.00,2010
T33,T35,Wyndham Clark,24,64.29,18,28,+1.00,2010
T33,,Keita Nakajima,8,64.29,9,14,+3.00,2010
T33,T35,Cameron Percy,10,64.29,9,14,+1.00,2010
36,40,Justin Lower,24,64.0,16,25,+5.00,2010
37,T21,Paul Haley II,22,63.89,23,36,+7.00,2010
38,T51,Brian Harman,24,63.64,14,22,+4.00,2010
39,T71,Maverick McNealy,26,63.33,19,30,-1.00,2010
40,T35,Mark Hubbard,24,62.86,22,35,+8.00,2010
T41,T45,Joel Dahmen,26,62.5,20,32,+3.00,2010
T41,T45,Chris Gotterup,12,62.5,10,16,+1.00,2010
