RK,Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%,Year
1,Danny BrierePHI,C,23,12,18,30,9,18,19:37,4,6,63,19.0,601,4,82,91,47.4,0,0,0.0,2010
2,Jonathan ToewsCHI,C,22,7,22,29,-1,4,20:58,5,10,58,12.1,643,3,277,183,60.2,0,0,0.0,2010
3,Patrick KaneCHI,RW,22,10,18,28,-2,6,18:58,1,10,64,15.6,585,1,2,5,28.6,0,0,0.0,2010
4,Mike RichardsPHI,C,23,7,16,23,-1,18,21:45,2,10,59,11.9,734,1,216,240,47.4,0,0,0.0,2010
5,Patrick SharpCHI,LW,22,11,11,22,10,16,17:50,3,3,76,14.5,561,1,120,121,49.8,0,0,0.0,2010
6,Claude GirouxPHI,RW,23,10,11,21,7,4,18:44,3,4,47,21.3,622,2,120,154,43.8,0,0,0.0,2010
6,Ville LeinoPHI,LW,19,7,14,21,10,6,16:15,0,5,36,19.4,432,2,13,22,37.1,0,0,0.0,2010
8,Michael CammalleriMTL,LW,19,13,6,19,-6,6,20:40,4,3,60,21.7,493,3,12,16,42.9,0,0,0.0,2010
8,Sidney CrosbyPIT,C,13,6,13,19,6,6,23:31,1,8,41,14.6,333,1,155,122,56.0,0,0,0.0,2010
10,Chris ProngerPHI,D,23,4,14,18,5,36,29:03,3,5,41,9.8,839,0,0,0,0.0,0,0,0.0,2010
10,Johan FranzenDET,RW,12,6,12,18,8,16,17:34,1,5,48,12.5,294,1,3,8,27.3,0,0,0.0,2010
12,Scott HartnellPHI,LW,23,8,9,17,4,25,16:13,3,4,30,26.7,537,0,1,4,20.0,0,0,0.0,2010
12,Duncan KeithCHI,D,22,2,15,17,2,10,28:11,0,5,61,3.3,729,0,0,0,0.0,0,0,0.0,2010
12,Joe PavelskiSJ,C,15,9,8,17,6,6,21:31,5,2,65,13.8,428,3,118,112,51.3,0,0,0.0,2010
15,Dustin ByfuglienCHI,D,22,11,5,16,-4,20,16:15,5,0,45,24.4,505,5,1,2,33.3,0,0,0.0,2010
15,Dave BollandCHI,C,22,8,8,16,6,30,18:39,2,2,35,22.9,667,1,127,196,39.3,0,0,0.0,2010
17,Marian HossaCHI,RW,22,3,12,15,7,25,18:25,0,1,73,4.1,605,1,1,2,33.3,0,0,0.0,2010
17,Mikael SamuelssonVAN,RW,12,8,7,15,7,16,17:58,3,1,42,19.0,303,1,4,7,36.4,0,0,0.0,2010
17,Brian GiontaMTL,RW,19,9,6,15,-6,14,22:11,4,1,70,12.9,536,1,7,11,38.9,0,0,0.0,2010
17,Henrik ZetterbergDET,C,12,7,8,15,11,6,20:25,2,3,45,15.6,329,2,87,105,45.3,0,0,0.0,2010
21,Dan BoyleSJ,D,15,2,12,14,-1,8,27:10,1,8,47,4.3,504,0,0,0,0.0,0,0,0.0,2010
21,Scott GomezMTL,C,19,2,12,14,-6,25,21:10,0,6,46,4.3,515,0,188,194,49.2,0,0,0.0,2010
21,Daniel SedinVAN,LW,12,5,9,14,4,12,19:46,1,3,38,13.2,327,2,0,2,0.0,0,0,0.0,2010
21,Henrik SedinVAN,C,12,3,11,14,3,6,20:38,0,4,23,13.0,348,1,155,108,58.9,0,0,0.0,2010
21,Kris VersteegCHI,RW,22,6,8,14,4,14,17:12,0,2,55,10.9,627,2,13,19,40.6,0,0,0.0,2010
26,Patrick MarleauSJ,C,14,8,5,13,-3,8,22:06,3,3,56,14.3,414,2,27,31,46.6,0,0,0.0,2010
26,Dany HeatleySJ,LW,14,2,11,13,-7,16,20:41,1,5,45,4.4,380,0,1,3,25.0,0,0,0.0,2010
26,Pavel DatsyukDET,C,12,6,7,13,3,8,18:48,1,1,39,15.4,316,1,129,114,53.1,0,0,0.0,2010
26,Matthew CarlePHI,D,23,1,12,13,6,8,25:53,0,1,33,3.0,816,0,0,0,0.0,0,0,0.0,2010
30,Simon GagnePHI,LW,19,9,3,12,-2,0,17:34,5,1,52,17.3,468,2,3,1,75.0,0,0,0.0,2010
30,Sergei GoncharPIT,D,13,2,10,12,4,4,26:26,1,6,24,8.3,368,1,0,0,0.0,0,0,0.0,2010
30,Joe ThorntonSJ,C,15,3,9,12,-11,18,21:19,1,3,35,8.6,425,1,141,118,54.4,0,0,0.0,2010
30,Dennis WidemanBOS,D,13,1,11,12,3,4,26:02,0,4,29,3.4,398,0,0,0,0.0,0,0,0.0,2010
34,Todd BertuzziDET,RW,12,2,9,11,4,12,17:07,1,2,19,10.5,283,0,1,5,16.7,0,0,0.0,2010
34,Brian RafalskiDET,D,12,3,8,11,4,2,23:58,1,4,23,13.0,334,0,0,0,0.0,0,0,0.0,2010
34,Kimmo TimonenPHI,D,23,1,10,11,6,20,26:37,0,5,45,2.2,777,0,0,0,0.0,0,0,0.0,2010
34,Tomas PlekanecMTL,C,19,4,7,11,-4,20,19:57,1,1,39,10.3,539,1,180,202,47.1,0,0,0.0,2010
34,Chris KunitzPIT,LW,13,4,7,11,3,8,17:25,1,0,38,10.5,287,0,0,2,0.0,0,0,0.0,2010
34,Patrice BergeronBOS,C,13,4,7,11,4,2,20:22,0,2,37,10.8,366,1,169,123,57.9,0,0,0.0,2010
34,Brent SeabrookCHI,D,22,4,7,11,8,14,24:10,1,0,39,10.3,731,0,0,0,0.0,0,0,0.0,2010
34,Evgeni MalkinPIT,C,13,5,6,11,0,6,21:53,4,4,58,8.6,298,1,39,52,42.9,0,0,0.0,2010
42,Nicklas LidstromDET,D,12,4,6,10,7,2,26:22,3,2,39,10.3,371,0,0,0,0.0,0,0,0.0,2010
42,Mark RecchiBOS,RW,13,6,4,10,0,6,19:29,3,2,26,23.1,335,0,4,3,57.1,0,0,0.0,2010
42,Miroslav SatanBOS,RW,13,5,5,10,4,16,18:31,2,1,37,13.5,287,3,4,6,40.0,0,0,0.0,2010
42,Ryan KeslerVAN,C,12,1,9,10,3,4,21:18,0,1,21,4.8,343,0,124,110,53.0,0,0,0.0,2010
42,Alex OvechkinWSH,LW,7,5,5,10,5,0,23:06,1,0,34,14.7,160,0,1,1,50.0,0,0,0.0,2010
42,Ryane CloweSJ,LW,15,2,8,10,4,28,20:10,0,2,42,4.8,397,0,11,27,28.9,0,0,0.0,2010
48,Bill GuerinPIT,RW,11,4,5,9,3,2,18:17,1,2,30,13.3,247,0,1,3,25.0,0,0,0.0,2010
48,Roman HamrlikMTL,D,19,0,9,9,-1,15,20:08,0,1,21,0.0,516,0,0,0,0.0,0,0,0.0,2010
48,Valtteri FilppulaDET,C,12,4,5,9,1,6,18:34,2,2,33,12.1,313,0,16,18,47.1,0,0,0.0,2010
1,David KrejciBOS,C,25,12,11,23,8,10,20:07,2,2,57,21.1,607,4,202,188,51.8,0,0,0.0,2011
2,Henrik SedinVAN,C,25,3,19,22,-11,16,20:56,2,9,46,6.5,741,1,228,270,45.8,0,0,0.0,2011
