RK,Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%,Year
1,Henrik SedinVAN,C,82,29,83,112,35,48,19:40,4,23,166,17.5,2060,5,756,771,49.5,0,0,0.0,2010
2,Alex OvechkinWSH,LW,72,50,59,109,45,89,21:47,13,23,368,13.6,1420,7,10,12,45.5,9,2,22.2,2010
2,Sidney CrosbyPIT,C,81,51,58,109,15,71,21:57,13,21,298,17.1,1900,6,1001,790,55.9,10,8,80.0,2010
4,Nicklas BackstromWSH,C,82,33,68,101,37,50,20:26,11,26,222,14.9,1763,4,667,669,49.9,9,4,44.4,2010
5,Steven StamkosTB,C,82,51,44,95,-2,38,20:32,24,17,297,17.2,2077,5,481,523,47.9,9,3,33.3,2010
6,Martin St. LouisTB,RW,82,29,65,94,-8,12,21:48,7,30,242,12.0,2136,7,71,86,45.2,3,0,0.0,2010
7,Brad RichardsDAL,C,80,24,67,91,-12,14,20:51,13,27,284,8.5,1930,2,587,553,51.5,16,4,25.0,2010
8,Joe ThorntonSJ,C,79,20,69,89,17,54,19:51,4,25,141,14.2,2034,2,662,566,53.9,2,0,0.0,2010
9,Patrick KaneCHI,RW,82,30,58,88,16,20,19:11,9,20,261,11.5,1908,6,9,13,40.9,15,4,26.7,2010
10,Marian GaborikNYR,RW,76,42,44,86,15,37,21:14,14,12,272,15.4,1877,4,2,5,28.6,5,1,20.0,2010
11,Daniel SedinVAN,LW,63,29,56,85,36,28,19:07,8,13,225,12.9,1567,8,11,22,33.3,0,0,0.0,2010
11,Ilya KovalchukNJ/ATL,LW,76,41,44,85,10,53,22:02,12,15,290,14.1,1562,4,7,23,23.3,8,2,25.0,2010
13,Alexander SeminWSH,RW,73,40,44,84,36,66,19:07,8,19,278,14.4,1493,5,6,10,37.5,7,2,28.6,2010
14,Patrick MarleauSJ,C,82,44,39,83,21,22,21:12,12,13,274,16.1,2225,6,316,299,51.4,7,2,28.6,2010
15,Dany HeatleySJ,LW,82,39,43,82,14,54,20:13,18,12,280,13.9,2066,9,14,21,40.0,6,1,16.7,2010
15,Zach PariseNJ,LW,81,38,44,82,24,32,19:46,9,17,347,11.0,2028,5,18,30,37.5,11,5,45.5,2010
17,Anze KopitarLA,C,82,34,47,81,6,16,21:46,14,24,259,13.1,2111,2,602,609,49.7,16,8,50.0,2010
18,Paul StastnyCOL,C,81,20,59,79,2,50,21:23,9,16,199,10.1,2204,2,851,852,50.0,4,0,0.0,2010
19,Evgeni MalkinPIT,C,67,28,49,77,-6,100,20:50,13,15,268,10.4,1405,7,199,299,40.0,2,1,50.0,2010
20,Mike GreenWSH,D,75,19,57,76,39,54,25:28,10,25,205,9.3,1836,4,0,0,0.0,2,0,0.0,2010
20,Corey PerryANA,RW,82,27,49,76,0,111,21:03,6,17,270,10.0,2022,2,6,22,21.4,13,3,23.1,2010
22,Ryan KeslerVAN,C,82,25,50,75,1,104,19:37,12,14,214,11.7,2077,5,772,629,55.1,5,3,60.0,2010
23,Daniel AlfredssonOTT,RW,70,20,51,71,8,22,19:39,4,27,168,11.9,1549,5,14,26,35.0,7,2,28.6,2010
23,Mikko KoivuMIN,C,80,22,49,71,-2,50,20:44,8,20,246,8.9,2095,2,864,654,56.9,12,5,41.7,2010
23,Loui ErikssonDAL,LW,82,29,42,71,-4,26,19:45,6,6,214,13.6,2055,4,4,7,36.4,9,3,33.3,2010
26,Eric StaalCAR,C,70,29,41,70,4,68,20:42,13,10,277,10.5,1757,5,486,676,41.8,2,0,0.0,2010
26,Vincent LecavalierTB,C,82,24,46,70,-16,63,19:47,5,20,295,8.1,2029,3,771,678,53.2,8,1,12.5,2010
26,Pavel DatsyukDET,C,80,27,43,70,17,18,20:20,9,16,203,13.3,2056,3,590,480,55.1,14,7,50.0,2010
26,Tomas PlekanecMTL,C,82,25,45,70,5,50,19:57,3,21,216,11.6,2225,4,791,824,49.0,6,1,16.7,2010
26,Henrik ZetterbergDET,C,74,23,47,70,12,26,20:04,3,19,309,7.4,1862,6,544,554,49.5,11,2,18.2,2010
31,Jarome IginlaCGY,RW,82,32,37,69,-2,58,20:36,10,11,257,12.5,1945,5,152,171,47.1,4,0,0.0,2010
31,Derek RoyBUF,C,80,26,43,69,9,48,19:22,10,15,215,12.1,1901,6,617,608,50.4,5,1,20.0,2010
31,Duncan KeithCHI,D,82,14,55,69,21,51,26:35,3,13,213,6.6,2419,1,0,0,0.0,0,0,0.0,2010
31,Ryan GetzlafANA,C,66,19,50,69,4,79,21:39,8,14,149,12.8,1671,5,533,591,47.4,8,4,50.0,2010
35,Jonathan ToewsCHI,C,76,25,43,68,22,47,20:00,9,13,202,12.4,1905,3,801,595,57.4,14,8,57.1,2010
36,Alex BurrowsVAN,RW,82,35,32,67,34,121,17:51,4,2,209,16.7,2052,3,14,20,41.2,1,1,100.0,2010
36,Travis ZajacNJ,C,82,25,42,67,22,24,20:12,6,15,210,11.9,2210,4,726,647,52.9,5,1,20.0,2010
36,Nik AntropovATL,C,76,24,43,67,13,44,18:13,8,13,126,19.0,1459,4,481,627,43.4,2,0,0.0,2010
36,Rick NashCBJ,LW,76,33,34,67,-2,58,20:56,10,12,254,13.0,2161,6,11,11,50.0,12,5,41.7,2010
40,Patrick SharpCHI,LW,82,25,41,66,24,28,18:07,4,12,266,9.4,1875,4,241,225,51.7,10,2,20.0,2010
41,Tim ConnollyBUF,C,73,17,48,65,10,28,18:37,7,20,206,8.3,1762,5,358,406,46.9,7,1,14.3,2010
41,Antoine VermetteCBJ,C,82,27,38,65,2,32,20:08,6,6,156,17.3,2310,1,852,721,54.2,4,0,0.0,2010
41,Jussi JokinenCAR,LW,81,30,35,65,3,36,16:48,10,14,160,18.8,1780,6,136,129,51.3,9,4,44.4,2010
41,Wojtek WolskiPHX/COL,LW,80,23,42,65,21,27,18:44,2,8,195,11.8,1808,5,16,20,44.4,15,1,6.7,2010
45,Bobby RyanANA,RW,81,35,29,64,9,81,18:29,11,10,258,13.6,1855,3,41,52,44.1,2,0,0.0,2010
45,Chris StewartCOL,RW,77,28,36,64,4,73,16:42,3,10,221,12.7,1625,5,3,5,37.5,7,3,42.9,2010
47,Dustin PennerEDM,LW,82,32,31,63,6,38,18:22,9,8,203,15.8,1888,1,201,220,47.7,6,1,16.7,2010
47,Kristian HuseliusCBJ,F,74,23,40,63,-4,36,18:23,8,15,162,14.2,1757,5,4,10,28.6,11,4,36.4,2010
49,Jason PominvilleBUF,RW,82,24,38,62,13,22,18:44,8,12,252,9.5,1952,2,42,78,35.0,9,5,55.6,2010
49,Mike RichardsPHI,C,82,31,31,62,-2,79,20:25,13,18,237,13.1,2165,3,696,677,50.7,6,1,16.7,2010
1,Daniel SedinVAN,LW,82,41,63,104,30,32,18:33,18,24,266,15.4,1993,10,4,13,23.5,5,1,20.0,2011
2,Martin St. LouisTB,RW,82,31,68,99,0,12,20:58,4,37,254,12.2,1991,7,50,81,38.2,5,1,20.0,2011
3,Corey PerryANA,RW,82,50,48,98,9,104,22:18,14,17,290,17.2,2176,11,9,13,40.9,6,1,16.7,2011
4,Henrik SedinVAN,C,82,19,75,94,26,40,19:15,8,27,157,12.1,2017,4,721,666,52.0,1,0,0.0,2011
5,Steven StamkosTB,C,82,45,46,91,3,74,20:11,17,19,272,16.5,1946,8,431,496,46.5,7,0,0.0,2011
6,Jarome IginlaCGY,RW,82,43,43,86,0,40,20:56,14,16,289,14.9,1901,6,227,193,54.0,1,0,0.0,2011
7,Alex OvechkinWSH,LW,79,32,53,85,24,41,21:21,7,17,367,8.7,1716,11,6,12,33.3,10,4,40.0,2011
8,Teemu SelanneANA,RW,73,31,49,80,6,49,17:56,16,18,213,14.6,1656,5,97,121,44.5,3,0,0.0,2011
8,Henrik ZetterbergDET,C,80,24,56,80,-1,40,19:35,10,20,306,7.8,1889,3,516,468,52.4,3,0,0.0,2011
10,Brad RichardsDAL,C,72,28,49,77,1,24,21:43,7,22,272,10.3,1681,3,501,489,50.6,12,5,41.7,2011
11,Ryan GetzlafANA,C,67,19,57,76,14,35,21:51,7,20,117,16.2,1726,4,542,641,45.8,3,1,33.3,2011
11,Eric StaalCAR,C,81,33,43,76,-10,72,21:56,12,17,296,11.1,2229,8,840,911,48.0,1,0,0.0,2011
11,Jonathan ToewsCHI,C,80,32,44,76,25,26,20:45,10,15,233,13.7,2192,8,937,716,56.7,11,5,45.5,2011
11,Claude GirouxPHI,RW,82,25,51,76,20,47,19:23,8,11,169,14.8,2065,5,548,547,50.0,9,2,22.2,2011
15,Loui ErikssonDAL,LW,79,27,46,73,10,8,20:34,10,15,179,15.1,1918,6,1,3,25.0,5,1,20.0,2011
15,Anze KopitarLA,C,75,25,48,73,25,20,21:35,6,12,233,10.7,1917,6,579,581,49.9,10,3,30.0,2011
15,Patrick KaneCHI,RW,73,27,46,73,7,28,19:17,5,19,216,12.5,1749,2,2,12,14.3,10,3,30.0,2011
15,Patrick MarleauSJ,C,82,37,36,73,-3,16,20:47,11,15,279,13.3,2210,9,288,261,52.5,3,0,0.0,2011
15,Ryan KeslerVAN,C,82,41,32,73,24,66,20:29,15,15,260,15.8,2130,7,859,637,57.4,8,2,25.0,2011
15,Thomas VanekBUF,LW,80,32,41,73,2,24,17:21,11,17,238,13.4,1705,5,8,18,30.8,6,5,83.3,2011
21,Mike RibeiroDAL,C,82,19,52,71,-4,28,19:57,7,16,161,11.8,1939,4,565,648,46.6,10,6,60.0,2011
21,Patrick SharpCHI,LW,74,34,37,71,-1,38,19:24,12,14,268,12.7,1873,6,244,264,48.0,7,1,14.3,2011
21,Bobby RyanANA,RW,82,34,37,71,15,61,20:10,5,5,270,12.6,2105,5,87,132,39.7,3,2,66.7,2011
24,Joe ThorntonSJ,C,80,21,49,70,4,47,19:52,9,24,149,14.1,2076,3,675,565,54.4,0,0,0.0,2011
25,Alex TanguayCGY,LW,79,22,47,69,0,24,19:45,3,17,120,18.3,1858,2,42,65,39.3,16,10,62.5,2011
26,Danny BrierePHI,C,77,34,34,68,20,87,18:18,6,9,246,13.8,1723,6,395,425,48.2,9,3,33.3,2011
26,Lubomir VisnovskyANA,D,81,18,50,68,18,24,24:17,5,26,152,11.8,2106,4,0,0,0.0,1,0,0.0,2011
28,John TavaresNYI,C,79,29,38,67,-16,53,19:15,9,15,243,11.9,1715,4,693,626,52.5,4,0,0.0,2011
28,Matt DucheneCOL,C,80,27,40,67,-8,33,18:56,3,12,202,13.4,1846,2,628,618,50.4,6,0,0.0,2011
30,Sidney CrosbyPIT,C,41,32,34,66,20,31,21:55,10,9,161,19.9,930,3,546,435,55.7,4,1,25.0,2011
30,Joe PavelskiSJ,C,74,20,46,66,10,24,19:39,11,17,282,7.1,1908,5,554,466,54.3,9,2,22.2,2011
30,Rick NashCBJ,LW,75,32,34,66,2,34,18:55,6,8,305,10.5,1780,7,7,17,29.2,12,5,41.7,2011
30,Jeff CarterPHI,C,80,36,30,66,27,39,18:14,8,9,335,10.7,1886,7,331,274,54.7,2,0,0.0,2011
30,Mike RichardsPHI,C,81,23,43,66,11,62,18:52,5,16,184,12.5,2062,4,606,610,49.8,5,1,20.0,2011
35,Nicklas BackstromWSH,C,77,18,47,65,24,40,20:35,4,18,202,8.9,1823,2,690,625,52.5,9,2,22.2,2011
36,Phil KesselTOR,C,82,32,32,64,-20,24,19:38,12,11,325,9.8,1826,6,24,35,40.7,8,1,12.5,2011
36,Dany HeatleySJ,LW,80,26,38,64,8,56,19:39,11,19,217,12.0,1978,5,9,11,45.0,1,0,0.0,2011
38,Jeff SkinnerCAR,LW,82,31,32,63,3,46,16:43,6,12,215,14.4,1818,2,58,99,36.9,10,4,40.0,2011
39,Ryane CloweSJ,LW,75,24,38,62,13,100,17:57,5,8,185,13.0,1723,2,17,24,41.5,8,3,37.5,2011
39,Clarke MacArthurTOR,LW,82,21,41,62,-3,37,17:06,6,13,154,13.6,1748,3,9,7,56.3,1,0,0.0,2011
39,David BackesSTL,RW,82,31,31,62,32,93,19:42,5,10,211,14.7,2137,2,506,632,44.5,1,0,0.0,2011
39,David KrejciBOS,C,75,13,49,62,23,28,18:51,1,11,157,8.3,1651,2,560,589,48.7,2,0,0.0,2011
39,Milan LucicBOS,LW,79,30,32,62,28,121,16:34,5,9,173,17.3,1537,7,21,33,38.9,1,0,0.0,2011
39,Patrik EliasNJ,C,81,21,41,62,-4,16,18:38,7,13,204,10.3,2085,5,224,274,45.0,3,0,0.0,2011
39,Martin HavlatMIN,F,78,22,40,62,-10,52,18:20,3,11,229,9.6,1712,4,3,7,30.0,2,0,0.0,2011
39,Nicklas LidstromDET,D,82,16,46,62,-2,20,23:28,7,32,175,9.1,2193,1,0,0,0.0,0,0,0.0,2011
39,Mikko KoivuMIN,C,71,17,45,62,4,50,19:29,7,15,191,8.9,1780,3,683,610,52.8,6,3,50.0,2011
48,Shane DoanPHX,RW,72,20,40,60,5,67,19:17,11,10,221,9.1,1615,6,73,86,45.9,3,1,33.3,2011
48,Ilya KovalchukNJ,LW,81,31,29,60,-26,28,22:33,9,12,245,12.7,1983,9,9,22,29.0,5,2,40.0,2011
50,Pavel DatsyukDET,C,56,23,36,59,11,15,19:19,6,12,137,16.8,1308,5,429,356,54.7,4,2,50.0,2011
1,Evgeni MalkinPIT,C,75,50,59,109,18,70,21:01,12,22,339,14.7,1644,9,575,635,47.5,11,8,72.7,2012
2,Steven StamkosTB,C,82,60,37,97,7,66,22:01,12,13,303,19.8,2016,12,558,669,45.5,4,1,25.0,2012
3,Claude GirouxPHI,RW,77,28,65,93,6,29,21:32,6,32,242,11.6,1949,5,828,715,53.7,9,5,55.6,2012
4,Jason SpezzaOTT,C,80,34,50,84,11,36,19:55,10,14,232,14.7,2091,2,909,791,53.5,10,6,60.0,2012
5,Ilya KovalchukNJ,LW,77,37,46,83,-9,33,24:26,10,19,310,11.9,1927,5,13,24,35.1,14,11,78.6,2012
6,Phil KesselTOR,C,82,37,45,82,-10,20,20:03,10,13,295,12.5,1874,6,9,19,32.1,7,1,14.3,2012
7,John TavaresNYI,C,82,31,50,81,-6,26,20:34,7,18,286,10.8,1777,8,814,772,51.3,7,2,28.6,2012
7,Henrik SedinVAN,C,82,14,67,81,23,52,19:05,8,19,113,12.4,2034,6,652,650,50.1,0,0,0.0,2012
7,James NealPIT,LW,80,40,41,81,6,87,19:08,18,12,329,12.2,1681,4,4,11,26.7,9,4,44.4,2012
10,Patrik EliasNJ,C,81,26,52,78,-8,16,19:51,8,21,164,15.9,2076,3,604,765,44.1,12,6,50.0,2012
10,Erik KarlssonOTT,D,81,19,59,78,16,42,25:19,3,25,261,7.3,2202,5,0,1,0.0,1,0,0.0,2012
12,Marian HossaCHI,RW,81,29,48,77,18,20,19:57,9,11,248,11.7,2111,4,3,6,33.3,4,0,0.0,2012
12,Joe ThorntonSJ,C,82,18,59,77,17,31,20:28,4,19,156,11.5,2217,2,557,436,56.1,0,0,0.0,2012
12,Ray WhitneyPHX,LW,82,24,53,77,26,28,18:38,8,12,185,13.0,1712,1,4,11,26.7,11,6,54.5,2012
15,Marian GaborikNYR,RW,82,41,35,76,15,34,19:30,10,11,276,14.9,1847,7,0,2,0.0,7,4,57.1,2012
15,Anze KopitarLA,C,82,25,51,76,12,20,21:20,8,18,230,10.9,2059,2,763,655,53.8,9,1,11.1,2012
15,Jordan EberleEDM,RW,78,34,42,76,4,10,17:35,10,10,180,18.9,1689,4,12,15,44.4,12,3,25.0,2012
18,Martin St. LouisTB,RW,77,25,49,74,-3,16,22:37,4,12,185,13.5,1847,3,18,23,43.9,2,1,50.0,2012
19,Jason PominvilleBUF,RW,82,30,43,73,-7,12,19:40,8,18,235,12.8,1985,5,179,196,47.7,13,5,38.5,2012
20,Loui ErikssonDAL,LW,82,26,45,71,18,12,19:45,5,7,187,13.9,1951,3,7,9,43.8,11,5,45.5,2012
21,Eric StaalCAR,C,82,24,46,70,-20,48,21:32,7,16,262,9.2,2367,3,882,799,52.5,4,1,25.0,2012
22,Henrik ZetterbergDET,C,82,22,47,69,14,47,19:50,3,11,267,8.2,1988,4,548,567,49.1,3,1,33.3,2012
22,Patrick SharpCHI,LW,74,33,36,69,28,38,19:53,7,10,282,11.7,1822,8,139,152,47.8,8,1,12.5,2012
22,Zach PariseNJ,LW,82,31,38,69,-5,32,21:29,7,7,293,10.6,2117,3,30,33,47.6,16,8,50.0,2012
22,Matt MoulsonNYI,LW,82,36,33,69,1,6,19:18,14,10,219,16.4,1718,5,2,2,50.0,4,2,50.0,2012
26,Tyler SeguinBOS,C,81,29,38,67,34,30,16:56,5,10,242,12.0,1653,7,46,60,43.4,12,6,50.0,2012
26,Scott HartnellPHI,LW,82,37,30,67,19,136,17:46,16,7,232,15.9,1739,6,20,43,31.7,0,0,0.0,2012
26,Jarome IginlaCGY,RW,82,32,35,67,-10,43,20:36,8,11,251,12.7,1884,5,214,212,50.2,7,2,28.6,2012
26,Daniel SedinVAN,LW,72,30,37,67,14,40,18:48,10,15,229,13.1,1798,6,6,13,31.6,1,0,0.0,2012
26,Pavel DatsyukDET,C,70,19,48,67,21,14,19:34,4,19,164,11.6,1769,5,702,547,56.2,11,5,45.5,2012
26,Joffrey LupulTOR,RW,66,25,42,67,1,48,18:36,8,13,191,13.1,1430,3,21,37,36.2,3,2,66.7,2012
26,P.A. ParenteauNYI,RW,80,18,49,67,-8,89,18:39,6,13,167,10.8,1681,2,10,16,38.5,6,2,33.3,2012
33,Brad RichardsNYR,C,82,25,41,66,-1,22,20:15,7,17,229,10.9,1823,9,682,634,51.8,9,1,11.1,2012
33,Teemu SelanneANA,RW,82,26,40,66,-1,50,17:52,12,16,210,12.4,1726,4,145,155,48.3,10,5,50.0,2012
33,Valtteri FilppulaDET,C,81,23,43,66,18,14,18:15,3,8,144,16.0,1871,1,193,180,51.7,3,1,33.3,2012
33,Patrick KaneCHI,RW,82,23,43,66,7,40,20:11,4,8,253,9.1,2001,5,240,329,42.2,12,6,50.0,2012
37,Teddy PurcellTB,RW,81,24,41,65,9,16,16:07,8,11,152,15.8,1607,3,3,14,17.6,2,1,50.0,2012
37,Logan CoutureSJ,C,80,31,34,65,2,16,18:33,11,15,245,12.7,2022,5,468,442,51.4,4,0,0.0,2012
37,Max PaciorettyMTL,LW,79,33,32,65,2,56,18:15,4,9,286,11.5,1817,5,1,4,20.0,13,2,15.4,2012
37,Alex OvechkinWSH,LW,78,38,27,65,-8,26,19:48,13,10,303,12.5,1651,3,6,9,40.0,8,3,37.5,2012
41,Patrick MarleauSJ,C,82,30,34,64,10,26,20:28,10,15,251,12.0,2205,8,243,224,52.0,1,0,0.0,2012
41,Patrice BergeronBOS,C,81,22,42,64,36,20,18:34,5,9,191,11.5,2005,3,973,668,59.3,8,5,62.5,2012
41,Blake WheelerWPG,RW,80,17,47,64,3,55,19:04,6,9,208,8.2,1739,3,4,6,40.0,6,4,66.7,2012
44,Jamie BennDAL,LW,71,26,37,63,15,55,18:04,2,8,203,12.8,1695,7,347,404,46.2,8,4,50.0,2012
44,Mike RibeiroDAL,C,74,18,45,63,5,66,20:02,2,13,142,12.7,1667,5,341,467,42.2,7,2,28.6,2012
46,Radim VrbataPHX,RW,77,35,27,62,24,24,18:38,9,8,232,15.1,1739,12,27,40,40.3,13,4,30.8,2012
46,Michael RyderDAL,RW,82,35,27,62,17,46,17:22,7,3,211,16.6,1711,6,34,37,47.9,7,1,14.3,2012
46,David KrejciBOS,C,79,23,39,62,-5,36,18:25,2,9,145,15.9,1701,2,544,501,52.1,10,5,50.0,2012
49,Joe PavelskiSJ,C,82,31,30,61,18,31,20:36,8,10,269,11.5,2240,2,507,357,58.7,10,4,40.0,2012
49,Milan LucicBOS,LW,81,26,35,61,7,135,17:01,7,4,149,17.5,1613,1,14,16,46.7,0,0,0.0,2012
1,Martin St. LouisTB,RW,48,17,43,60,0,14,21:59,3,17,112,15.2,1149,2,12,16,42.9,1,0,0.0,2013
2,Steven StamkosTB,C,48,29,28,57,-4,32,22:01,10,8,157,18.5,1165,2,406,413,49.6,2,0,0.0,2013
3,Alex OvechkinWSH,LW,48,32,24,56,2,36,20:53,16,11,220,14.5,1026,4,0,1,0.0,3,3,100.0,2013
3,Sidney CrosbyPIT,C,36,15,41,56,26,16,21:06,3,14,124,12.1,820,1,453,381,54.3,2,2,100.0,2013
5,Patrick KaneCHI,RW,47,23,32,55,11,8,20:03,8,9,138,16.7,1088,3,2,8,20.0,11,6,54.5,2013
6,Eric StaalCAR,C,48,18,35,53,5,54,20:59,3,6,152,11.8,1264,4,527,487,52.0,0,0,0.0,2013
7,Chris KunitzPIT,LW,48,22,30,52,30,39,18:01,9,7,113,19.5,978,5,4,5,44.4,0,0,0.0,2013
7,Phil KesselTOR,C,48,20,32,52,-3,18,19:48,6,15,161,12.4,1149,4,5,3,62.5,2,0,0.0,2013
9,Taylor HallEDM,LW,45,16,34,50,5,33,18:37,4,10,154,10.4,1017,4,29,24,54.7,0,0,0.0,2013
10,Mike RibeiroWSH,C,48,13,36,49,-4,53,17:50,6,21,63,20.6,973,1,226,279,44.8,2,0,0.0,2013
10,Pavel DatsyukDET,C,47,15,34,49,21,14,20:10,8,8,107,14.0,1191,6,488,399,55.0,7,2,28.6,2013
10,Ryan GetzlafANA,C,44,15,34,49,14,41,20:11,4,11,99,15.2,1064,3,355,384,48.0,4,3,75.0,2013
13,Henrik ZetterbergDET,C,46,11,37,48,2,18,20:31,4,19,173,6.4,1118,5,263,281,48.3,5,1,20.0,2013
