RK,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Year
1,Aaron RodgersGB,QB,4,90,132,68.2,1094,8.3,273.5,38,9,2,8,53,85.2,109.8,2010
2,Ben RoethlisbergerPIT,QB,3,54,91,59.3,622,6.8,207.3,58,4,4,9,48,64.4,76.3,2010
3,Mark SanchezNYJ,QB,3,54,89,60.7,616,6.9,205.3,58,5,1,3,19,70.0,95.5,2010
4,Matt HasselbeckSEA,QB,2,48,81,59.3,530,6.5,265.0,46,7,1,3,22,68.6,102.4,2010
5,Drew BreesNO,QB,1,39,60,65.0,404,6.7,404.0,40,2,0,1,7,70.5,95.4,2010
6,Joe FlaccoBAL,QB,2,41,64,64.1,390,6.1,195.0,28,3,1,9,51,52.2,90.0,2010
7,Jay CutlerCHI,QB,2,21,42,50.0,354,8.4,177.0,58,2,1,5,28,58.8,84.8,2010
8,Tom BradyNE,QB,1,29,45,64.4,299,6.6,299.0,37,2,1,5,40,16.2,89.0,2010
9,Mike VickPHI,QB,1,20,36,55.6,292,8.1,292.0,44,1,1,3,21,60.2,79.9,2010
10,Peyton ManningIND,QB,1,18,26,69.2,225,8.7,225.0,57,1,0,1,6,70.0,108.7,2010
11,Matt RyanATL,QB,1,20,29,69.0,186,6.4,186.0,22,1,2,5,37,40.3,69.0,2010
12,Caleb HanieCHI,QB,1,13,20,65.0,153,7.7,153.0,35,1,2,0,0,47.6,65.2,2010
13,Matt CasselKC,QB,1,9,18,50.0,70,3.9,70.0,22,0,3,3,17,12.8,20.4,2010
14,Todd CollinsCHI,QB,1,0,4,0.0,0,0.0,0.0,0,0,0,0,0,1.5,39.6,2010
14,Leon WashingtonSEA,RB,2,0,0,0.0,0,0.0,0.0,0,0,0,1,1,0.2,0.0,2010
14,Matt ForteCHI,RB,2,0,1,0.0,0,0.0,0.0,0,0,1,0,0,0.0,0.0,2010
1,Eli ManningNYG,QB,4,106,163,65.0,1219,7.5,304.8,72,9,1,11,75,74.4,103.3,2011
2,Drew BreesNO,QB,2,73,106,68.9,928,8.8,464.0,66,7,2,5,34,84.5,110.1,2011
3,Tom BradyNE,QB,3,75,111,67.6,878,7.9,292.7,61,8,4,3,15,80.8,100.4,2011
4,Alex SmithSF,QB,2,36,68,52.9,495,7.3,247.5,73,5,0,7,53,51.0,101.0,2011
5,Joe FlaccoBAL,QB,2,36,63,57.1,482,7.7,241.0,42,4,1,8,60,49.5,96.1,2011
6,Tim TebowDEN,TE,2,19,47,40.4,452,9.6,226.0,80,2,0,5,28,84.6,90.0,2011
7,Matthew StaffordDET,QB,1,28,43,65.1,380,8.8,380.0,42,3,2,0,0,87.5,97.0,2011
8,T.J. YatesHOU,QB,2,28,55,50.9,343,6.2,171.5,40,1,3,2,7,44.1,53.8,2011
9,Ben RoethlisbergerPIT,QB,1,22,40,55.0,289,7.2,289.0,33,1,1,5,45,36.9,75.9,2011
10,Aaron RodgersGB,QB,1,26,46,56.5,264,5.7,264.0,21,2,1,4,23,65.4,78.5,2011
11,Andy DaltonCIN,QB,1,27,42,64.3,257,6.1,257.0,36,0,3,4,33,28.3,51.4,2011
12,Matt RyanATL,QB,1,24,41,58.5,199,4.9,199.0,21,0,0,2,16,39.0,71.1,2011
1,Joe FlaccoBAL,QB,4,73,126,57.9,1140,9.0,285.0,70,11,0,6,38,83.6,117.2,2012
2,Colin KaepernickSF,QB,3,49,80,61.3,798,10.0,266.0,45,4,2,5,32,91.2,100.9,2012
3,Tom BradyNE,QB,2,54,94,57.4,664,7.1,332.0,47,4,2,1,9,70.5,84.7,2012
4,Matt RyanATL,QB,2,54,77,70.1,646,8.4,323.0,47,6,3,1,0,78.2,105.2,2012
5,Matt SchaubHOU,QB,2,63,89,70.8,605,6.8,302.5,28,2,2,1,9,51.3,87.5,2012
6,Russell WilsonSEA,QB,2,39,62,62.9,572,9.2,286.0,34,3,1,7,48,61.6,102.4,2012
7,Aaron RodgersGB,QB,2,49,72,68.1,531,7.4,265.5,44,3,1,4,33,76.6,97.6,2012
8,Peyton ManningDEN,QB,1,28,43,65.1,290,6.7,290.0,32,3,2,3,17,56.1,88.3,2012
9,Andrew LuckIND,QB,1,28,54,51.9,288,5.3,288.0,25,0,1,3,21,51.2,59.8,2012
10,Joe WebbMIN,QB,1,11,30,36.7,180,6.0,180.0,50,1,1,3,23,22.6,54.9,2012
11,Andy DaltonCIN,QB,1,14,30,46.7,127,4.2,127.0,45,0,1,2,9,25.2,44.7,2012
12,Robert Griffin IIIWSH,QB,1,10,19,52.6,84,4.4,84.0,30,2,1,2,16,29.4,77.5,2012
13,Kirk CousinsWSH,QB,1,3,10,30.0,31,3.1,31.0,15,0,0,0,0,8.9,40.0,2012
1,Peyton ManningDEN,QB,3,91,128,71.1,910,7.1,303.3,37,5,3,1,1,79.0,94.2,2013
2,Andrew LuckIND,QB,2,49,86,57.0,774,9.0,387.0,64,6,7,4,21,81.3,76.4,2013
3,Colin KaepernickSF,QB,3,45,82,54.9,576,7.0,192.0,45,3,3,6,26,82.3,74.0,2013
4,Drew BreesNO,QB,2,44,73,60.3,559,7.7,279.5,52,2,2,3,9,50.4,81.9,2013
5,Russell WilsonSEA,QB,3,43,68,63.2,524,7.7,174.7,51,3,0,7,22,51.8,101.6,2013
6,Tom BradyNE,QB,2,37,63,58.7,475,7.5,237.5,53,1,0,4,34,69.4,87.7,2013
7,Alex SmithKC,QB,1,30,46,65.2,378,8.2,378.0,79,4,0,2,15,86.3,119.7,2013
8,Philip RiversSD,QB,2,30,43,69.8,345,8.0,172.5,49,3,0,5,29,60.0,116.9,2013
9,Andy DaltonCIN,QB,1,29,51,56.9,334,6.5,334.0,49,1,2,3,8,8.3,67.0,2013
10,Cam NewtonCAR,QB,1,16,25,64.0,267,10.7,267.0,59,1,2,5,35,51.5,79.9,2013
11,Nick FolesPHI,QB,1,23,33,69.7,195,5.9,195.0,40,2,0,2,19,83.5,105.0,2013
12,Aaron RodgersGB,QB,1,17,26,65.4,177,6.8,177.0,26,1,0,4,20,66.9,97.8,2013
13,Anquan BoldinSF,WR,3,0,1,0.0,0,0.0,0.0,0,0,0,0,0,25.0,39.6,2013
13,Andy LeeSF,P,3,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2013
13,Tarvaris JacksonSEA,QB,1,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0.4,39.6,2013
1,Tom BradyNE,QB,3,93,135,68.9,921,6.8,307.0,46,10,4,4,24,83.3,100.3,2014
2,Andrew LuckIND,QB,3,70,120,58.3,767,6.4,255.7,45,3,4,1,8,74.5,71.8,2014
3,Russell WilsonSEA,QB,3,41,72,56.9,724,10.1,241.3,63,6,5,10,58,70.2,90.3,2014
4,Joe FlaccoBAL,QB,2,46,74,62.2,551,7.4,275.5,40,6,2,1,13,81.5,100.7,2014
5,Aaron RodgersGB,QB,2,43,69,62.3,494,7.2,247.0,46,4,2,3,26,67.8,91.1,2014
6,Tony RomoDAL,QB,2,34,50,68.0,484,9.7,242.0,76,4,0,10,72,60.5,125.8,2014
7,Cam NewtonCAR,QB,2,41,68,60.3,444,6.5,222.0,39,4,3,3,16,39.4,80.8,2014
8,Ben RoethlisbergerPIT,QB,1,31,45,68.9,334,7.4,334.0,44,1,2,5,37,32.2,79.3,2014
9,Matthew StaffordDET,QB,1,28,42,66.7,323,7.7,323.0,51,1,1,3,16,39.5,87.7,2014
10,Peyton ManningDEN,QB,1,26,46,56.5,211,4.6,211.0,32,1,0,2,11,40.9,75.5,2014
11,Andy DaltonCIN,QB,1,18,35,51.4,155,4.4,155.0,26,0,0,3,11,39.5,63.4,2014
12,Ryan LindleyARI,QB,1,16,28,57.1,82,2.9,82.0,21,1,2,4,31,4.8,44.3,2014
13,Julian EdelmanNE,WR,3,1,1,100.0,51,51.0,17.0,51,1,0,0,0,100.0,158.3,2014
14,Bruce GradkowskiPIT,QB,1,2,3,66.7,22,7.3,22.0,18,0,0,0,0,90.6,88.2,2014
15,Jon RyanSEA,P,3,1,1,100.0,19,19.0,6.3,19,1,0,0,0,,158.3,2014
1,Cam NewtonCAR,QB,3,53,91,58.2,761,8.4,253.7,86,3,2,8,85,57.1,87.3,2015
2,Tom BradyNE,QB,2,55,98,56.1,612,6.2,306.0,42,3,2,4,18,70.7,76.6,2015
3,Carson PalmerARI,QB,2,48,81,59.3,584,7.2,292.0,75,4,6,6,29,39.9,67.1,2015
4,Ben RoethlisbergerPIT,QB,2,42,68,61.8,568,8.4,284.0,60,1,0,6,55,51.3,93.3,2015
5,Peyton ManningDEN,QB,3,51,92,55.4,539,5.9,179.7,34,2,1,9,75,28.4,75.4,2015
6,Russell WilsonSEA,QB,2,44,74,59.5,508,6.9,254.0,35,4,3,7,54,43.2,81.4,2015
7,Aaron RodgersGB,QB,2,45,80,56.3,471,5.9,235.5,60,4,1,2,15,74.6,84.9,2015
8,Alex SmithKC,QB,2,46,72,63.9,436,6.1,218.0,48,2,1,4,20,70.2,84.0,2015
9,Kirk CousinsWSH,QB,1,29,46,63.0,329,7.2,329.0,38,1,0,6,59,58.9,91.7,2015
10,AJ McCarronCIN,QB,1,23,41,56.1,212,5.2,212.0,25,1,1,3,24,33.8,68.3,2015
11,Teddy BridgewaterMIN,QB,1,17,24,70.8,146,6.1,146.0,24,0,0,3,21,32.3,86.5,2015
12,Brian HoyerHOU,QB,1,15,34,44.1,136,4.0,136.0,17,0,4,3,24,5.7,15.9,2015
13,Landry JonesPIT,QB,1,2,5,40.0,11,2.2,11.0,7,0,1,1,11,0.1,8.3,2015
