RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,Year
1,Greg JenningsGB,WR,4,21,33,303,14.4,2,31,9,75.8,1,1,86,11,2010
2,Jordy NelsonGB,WR,4,21,29,286,13.6,2,38,4,71.5,0,0,83,14,2010
3,Donald DriverGB,WR,4,14,20,169,12.1,0,24,5,42.3,0,0,52,8,2010
4,Braylon EdwardsNYJ,WR,3,9,15,164,18.2,1,37,3,54.7,1,0,33,8,2010
5,Brandon StokleySEA,WR,2,12,15,158,13.2,2,45,2,79.0,0,0,46,8,2010
6,Todd HeapBAL,TE,2,13,20,151,11.6,1,21,2,75.5,0,0,56,11,2010
7,Jerricho CotcheryNYJ,WR,3,12,18,146,12.2,1,58,1,48.7,0,0,113,7,2010
8,James JonesGB,WR,4,11,13,144,13.1,2,34,3,36.0,0,0,37,7,2010
8,Matt ForteCHI,RB,2,13,18,144,11.1,0,26,2,72.0,0,0,135,8,2010
10,Greg OlsenCHI,TE,2,6,14,143,23.8,1,58,3,71.5,0,0,69,5,2010
11,Santonio HolmesNYJ,WR,3,9,17,127,14.1,2,45,1,42.3,0,0,32,7,2010
12,Dustin KellerNYJ,TE,3,14,24,121,8.6,0,20,1,40.3,0,0,49,6,2010
13,Hines WardPIT,WR,3,12,17,117,9.8,2,17,0,39.0,0,0,35,7,2010
14,Mike WallacePIT,WR,3,13,26,115,8.8,1,25,2,38.3,0,0,62,5,2010
15,Pierre GarconIND,WR,1,5,7,112,22.4,1,57,2,112.0,0,0,52,3,2010
16,Ben ObomanuSEA,WR,2,9,19,111,12.3,0,46,1,55.5,0,0,47,5,2010
17,Johnny KnoxCHI,WR,2,6,13,104,17.3,0,32,2,52.0,1,0,30,4,2010
18,Jason AvantPHI,WR,1,7,9,93,13.3,1,24,2,93.0,0,0,26,3,2010
19,Emmanuel SandersPIT,WR,3,7,13,91,13.0,0,20,1,30.3,0,0,25,6,2010
20,Antonio BrownPIT,WR,3,5,8,90,18.0,0,58,1,30.0,0,0,33,2,2010
21,Heath MillerPIT,TE,3,9,15,89,9.9,1,24,1,29.7,0,0,31,5,2010
22,Mike WilliamsSEA,WR,2,9,21,83,9.2,3,38,1,41.5,0,0,16,5,2010
23,Devery HendersonNO,WR,1,7,8,77,11.0,1,40,1,77.0,0,0,13,3,2010
24,Ray RiceBAL,RB,2,12,14,74,6.2,1,11,0,37.0,1,1,83,4,2010
25,Jeremy MaclinPHI,WR,1,3,7,73,24.3,0,44,1,73.0,0,0,39,3,2010
26,Michael JenkinsATL,WR,1,6,8,67,11.2,0,22,2,67.0,1,1,9,3,2010
27,T.J. HoushmandzadehBAL,WR,2,4,6,66,16.5,0,28,1,33.0,0,0,35,4,2010
27,Marques ColstonNO,WR,1,4,8,66,16.5,0,30,1,66.0,0,0,26,4,2010
29,Rob GronkowskiNE,TE,1,4,6,65,16.3,0,37,1,65.0,0,0,39,3,2010
30,Brandon JacksonGB,RB,4,5,8,64,12.8,1,16,0,16.0,0,0,63,3,2010
30,Cameron MorrahSEA,TE,2,4,6,64,16.0,0,39,1,32.0,0,0,31,2,2010
32,Anquan BoldinBAL,WR,2,6,12,62,10.3,1,27,1,31.0,0,0,31,5,2010
33,Julius JonesNO,RB,1,6,9,61,10.2,0,33,1,61.0,0,0,77,2,2010
34,Deion BranchNE,WR,1,5,10,59,11.8,1,16,0,59.0,0,0,11,5,2010
35,Earl BennettCHI,WR,2,4,9,58,14.5,1,35,1,29.0,0,0,20,2,2010
36,Wes WelkerNE,WR,1,7,9,57,8.1,0,13,0,57.0,0,0,26,5,2010
36,Roddy WhiteATL,WR,1,6,10,57,9.5,1,12,0,57.0,0,0,13,4,2010
38,Blair WhiteIND,WR,1,6,8,54,9.0,0,23,1,54.0,0,0,25,3,2010
39,John KuhnGB,FB,4,6,7,53,8.8,1,16,0,13.3,0,0,50,4,2010
40,Rashard MendenhallPIT,RB,3,4,5,52,13.0,0,18,0,17.3,0,0,57,3,2010
40,Danny WoodheadNE,RB,1,6,9,52,8.7,0,19,0,52.0,0,0,62,3,2010
42,Antwaan Randle ElPIT,WR,3,2,3,50,25.0,0,37,1,16.7,0,0,16,2,2010
43,Lance MooreNO,WR,1,4,9,49,12.3,0,18,0,49.0,0,0,8,3,2010
44,Brian FinneranATL,WR,1,4,6,47,11.8,0,19,0,47.0,0,0,20,2,2010
44,DeSean JacksonPHI,WR,1,2,4,47,23.5,0,28,1,47.0,0,0,40,2,2010
46,Jacob TammeIND,TE,1,5,8,46,9.2,0,15,0,46.0,0,0,26,4,2010
46,Andrew QuarlessGB,TE,4,5,10,46,9.2,0,15,0,11.5,0,0,24,2,2010
48,Kellen DavisCHI,TE,2,2,3,42,21.0,1,39,1,21.0,0,0,17,1,2010
49,Alge CrumplerNE,TE,1,3,5,39,13.0,1,28,1,39.0,0,0,16,2,2010
50,David ThomasNO,TE,1,4,5,38,9.5,0,16,0,38.0,0,0,14,2,2010
1,Hakeem NicksNYG,WR,4,28,43,444,15.9,4,72,4,111.0,1,0,199,19,2011
