RK,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Year
1,Philip RiversSD,QB,16,357,541,66.0,4710,8.7,294.4,59,30,13,38,227,66.9,101.8,2010
2,Peyton ManningIND,QB,16,450,679,66.3,4700,6.9,293.8,73,33,17,16,91,71.6,91.9,2010
3,Drew BreesNO,QB,16,448,658,68.1,4620,7.0,288.8,80,33,22,25,185,70.8,90.9,2010
4,Matt SchaubHOU,QB,16,365,574,63.6,4370,7.6,273.1,60,24,12,32,226,61.0,92.0,2010
5,Eli ManningNYG,QB,16,339,539,62.9,4002,7.4,250.1,92,31,25,16,117,57.7,85.3,2010
6,Carson PalmerCIN,QB,16,362,586,61.8,3970,6.8,248.1,78,26,20,26,201,55.1,82.4,2010
7,Aaron RodgersGB,QB,15,312,475,65.7,3922,8.3,261.5,86,28,11,31,193,69.6,101.2,2010
8,Tom BradyNE,QB,16,324,492,65.9,3900,7.9,243.8,79,36,4,25,175,79.1,111.0,2010
9,Matt RyanATL,QB,16,357,571,62.5,3705,6.5,231.6,46,28,9,23,158,71.2,91.0,2010
10,Kyle OrtonDEN,QB,13,293,498,58.8,3653,7.3,281.0,71,20,9,34,243,53.8,87.5,2010
11,Joe FlaccoBAL,QB,16,306,489,62.6,3622,7.4,226.4,67,25,10,40,294,59.1,93.6,2010
12,Sam BradfordSTL,QB,16,354,590,60.0,3512,6.0,219.5,49,18,15,34,244,46.9,76.5,2010
13,Josh FreemanTB,QB,16,291,474,61.4,3451,7.3,215.7,64,25,6,28,195,69.5,95.9,2010
14,Donovan McNabbWSH,QB,13,275,472,58.3,3377,7.2,259.8,76,14,15,37,271,47.8,77.1,2010
15,Chad HenneMIA,QB,15,301,490,61.4,3301,6.7,220.1,57,15,19,30,178,45.7,75.4,2010
16,Mark SanchezNYJ,QB,16,278,507,54.8,3291,6.5,205.7,74,17,13,27,171,51.3,75.3,2010
17,Jay CutlerCHI,QB,15,261,432,60.4,3274,7.6,218.3,89,23,16,52,352,51.4,86.3,2010
18,Ben RoethlisbergerPIT,QB,12,240,389,61.7,3200,8.2,266.7,56,17,5,32,220,67.4,97.0,2010
19,Matt CasselKC,QB,15,262,450,58.2,3116,6.9,207.7,75,27,7,26,182,55.8,93.0,2010
20,Mike VickPHI,QB,12,233,372,62.6,3018,8.1,251.5,91,21,6,34,210,70.4,100.2,2010
21,Matt HasselbeckSEA,QB,14,266,444,59.9,3001,6.8,214.4,87,12,17,29,175,52.3,73.2,2010
22,Ryan FitzpatrickBUF,QB,13,255,441,57.8,3000,6.8,230.8,65,23,15,24,145,52.3,81.8,2010
23,David GarrardJAX,QB,14,236,366,64.5,2734,7.5,195.3,75,23,15,33,253,63.1,90.8,2010
24,Shaun HillDET,QB,11,257,416,61.8,2686,6.5,244.2,75,16,12,17,113,53.2,81.3,2010
25,Brett FavreMIN,QB,13,217,358,60.6,2509,7.0,193.0,53,11,19,22,139,38.4,69.9,2010
26,Jason CampbellOAK,QB,13,194,329,59.0,2387,7.3,183.6,73,13,8,33,208,48.8,84.5,2010
27,Alex SmithSF,QB,11,204,342,59.6,2370,6.9,215.5,62,14,10,25,140,43.8,82.1,2010
28,Jon KitnaDAL,QB,10,209,318,65.7,2365,7.4,236.5,71,16,12,21,100,52.9,88.9,2010
29,Derek AndersonARI,QB,12,169,327,51.7,2065,6.3,172.1,43,7,10,25,176,32.7,65.9,2010
30,Kerry CollinsTEN,QB,10,160,278,57.6,1823,6.6,182.3,80,14,8,13,91,55.4,82.2,2010
31,Tony RomoDAL,QB,6,148,213,69.5,1605,7.5,267.5,69,11,7,7,41,66.4,94.9,2010
32,Colt McCoyCLE,QB,8,135,222,60.8,1576,7.1,197.0,47,6,9,23,132,52.8,74.5,2010
33,Jimmy ClausenCAR,QB,13,157,299,52.5,1558,5.2,119.8,55,3,9,33,223,13.8,58.4,2010
34,Vince YoungTEN,QB,9,93,156,59.6,1255,8.0,139.4,71,10,3,13,80,59.4,98.6,2010
35,Kevin KolbPHI,QB,7,115,189,60.8,1197,6.3,171.0,83,7,7,15,99,44.9,76.1,2010
36,Troy SmithSF,QB,6,73,145,50.3,1176,8.1,196.0,66,5,4,18,112,43.2,77.8,2010
37,Bruce GradkowskiOAK,QB,6,83,157,52.9,1059,6.7,176.5,70,5,7,10,77,26.3,66.3,2010
38,Rex GrossmanWSH,QB,4,74,133,55.6,884,6.6,221.0,64,7,4,9,77,33.0,81.2,2010
39,Jake DelhommeCLE,QB,5,93,149,62.4,872,5.9,174.4,49,2,7,6,49,27.0,63.4,2010
40,Matt MooreCAR,QB,6,79,143,55.2,857,6.0,142.8,39,5,10,13,90,36.9,55.6,2010
41,Drew StantonDET,QB,6,69,119,58.0,780,6.6,130.0,87,4,3,6,42,60.2,78.4,2010
42,Seneca WallaceCLE,QB,8,64,101,63.4,694,6.9,86.8,65,4,2,6,33,48.9,88.5,2010
43,John SkeltonARI,QB,5,60,126,47.6,662,5.3,132.4,74,2,2,9,65,23.6,62.3,2010
44,Tim TebowDEN,TE,9,41,82,50.0,654,8.0,72.7,50,5,3,6,26,56.0,82.1,2010
45,Matthew StaffordDET,QB,3,57,96,59.4,535,5.6,178.3,36,6,1,4,36,50.1,91.3,2010
46,Trent EdwardsBUF/JAX,QB,5,55,101,54.5,521,5.2,104.2,44,2,5,11,95,26.1,54.9,2010
47,Charlie WhitehurstSEA,QB,6,57,99,57.6,507,5.1,84.5,61,2,3,5,13,21.5,65.5,2010
48,Joe WebbMIN,QB,5,54,89,60.7,477,5.4,95.4,46,0,3,8,48,47.7,60.9,2010
49,Tyler ThigpenMIA,QB,5,33,62,53.2,435,7.0,87.0,35,2,2,8,50,29.9,73.0,2010
50,Matt FlynnGB,QB,7,40,66,60.6,433,6.6,61.9,66,3,2,7,38,25.0,82.5,2010
1,Drew BreesNO,QB,16,468,657,71.2,5476,8.3,342.3,79,46,14,24,158,82.3,110.6,2011
2,Tom BradyNE,QB,16,401,611,65.6,5235,8.6,327.2,99,39,12,32,173,73.8,105.6,2011
3,Matthew StaffordDET,QB,16,421,663,63.5,5038,7.6,314.9,73,41,16,36,257,60.5,97.2,2011
4,Eli ManningNYG,QB,16,359,589,61.0,4933,8.4,308.3,99,29,16,28,199,64.2,92.9,2011
5,Aaron RodgersGB,QB,15,343,502,68.3,4643,9.2,309.5,93,45,6,36,219,83.8,122.5,2011
6,Philip RiversSD,QB,16,366,582,62.9,4624,7.9,289.0,58,27,20,30,198,64.9,88.7,2011
7,Tony RomoDAL,QB,16,346,522,66.3,4184,8.0,261.5,77,31,10,36,227,69.0,102.5,2011
8,Matt RyanATL,QB,16,347,566,61.3,4177,7.4,261.1,80,29,12,26,173,69.3,92.2,2011
9,Ben RoethlisbergerPIT,QB,15,324,513,63.2,4077,7.9,271.8,95,21,14,40,269,68.3,90.1,2011
10,Cam NewtonCAR,QB,16,310,517,60.0,4051,7.8,253.2,91,21,17,35,260,56.6,84.5,2011
11,Ryan FitzpatrickBUF,QB,16,353,569,62.0,3832,6.7,239.5,60,24,23,22,148,50.1,79.1,2011
12,Joe FlaccoBAL,QB,16,312,542,57.6,3610,6.7,225.6,74,20,12,31,203,63.7,80.9,2011
13,Josh FreemanTB,QB,15,346,551,62.8,3592,6.5,239.5,65,16,22,29,164,46.1,74.6,2011
14,Matt HasselbeckTEN,QB,16,319,518,61.6,3571,6.9,223.2,80,18,14,19,153,51.4,82.4,2011
15,Mark SanchezNYJ,QB,16,308,543,56.7,3474,6.4,217.1,74,26,18,39,243,42.1,78.2,2011
16,Andy DaltonCIN,QB,16,300,516,58.1,3398,6.6,212.4,84,20,13,24,160,49.5,80.4,2011
17,Mike VickPHI,QB,13,253,423,59.8,3303,7.8,254.1,73,18,14,23,126,67.8,84.9,2011
18,Rex GrossmanWSH,QB,13,265,458,57.9,3151,6.9,242.4,51,16,20,25,201,41.5,72.4,2011
19,Alex SmithSF,QB,16,273,445,61.3,3144,7.1,196.5,56,17,5,44,263,54.5,90.7,2011
20,Tarvaris JacksonSEA,QB,15,271,450,60.2,3091,6.9,206.1,61,14,13,42,293,46.1,79.2,2011
21,Carson PalmerOAK,QB,10,199,328,60.7,2753,8.4,275.3,78,13,16,17,119,53.5,80.5,2011
22,Colt McCoyCLE,QB,13,265,463,57.2,2733,5.9,210.2,56,14,11,32,173,45.9,74.6,2011
23,Matt MooreMIA,QB,13,210,347,60.5,2497,7.2,192.1,65,16,9,36,229,55.7,87.1,2011
24,Matt SchaubHOU,QB,10,178,292,61.0,2479,8.5,247.9,80,15,6,16,98,73.8,96.8,2011
25,Jay CutlerCHI,QB,10,182,314,58.0,2319,7.4,231.9,56,13,7,23,159,60.5,85.7,2011
26,Blaine GabbertJAX,QB,15,210,413,50.8,2214,5.4,147.6,74,12,11,40,293,22.2,65.4,2011
