RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,Year
1,Brandon LloydDEN,WR,16,77,153,1448,18.8,11,71,23,90.5,0,0,198,72,2010
2,Roddy WhiteATL,WR,16,115,179,1389,12.1,10,46,15,86.8,1,1,350,73,2010
3,Reggie WayneIND,WR,16,111,173,1355,12.2,6,50,13,84.7,1,1,410,72,2010
4,Greg JenningsGB,WR,16,76,125,1265,16.6,12,86,21,79.1,2,0,415,52,2010
5,Mike WallacePIT,WR,16,60,100,1257,21.0,10,56,26,78.6,1,0,364,48,2010
6,Andre JohnsonHOU,WR,13,86,138,1216,14.1,8,60,18,93.5,1,0,328,59,2010
7,Dwayne BoweKC,WR,16,72,132,1162,16.1,15,75,19,72.6,1,0,371,55,2010
8,Larry FitzgeraldARI,WR,16,90,174,1137,12.6,6,41,14,71.1,0,0,187,59,2010
9,Calvin JohnsonDET,WR,15,77,137,1120,14.5,12,87,16,74.7,1,0,329,57,2010
10,Santana MossWSH,WR,16,93,146,1115,12.0,6,56,9,69.7,3,2,499,61,2010
11,Stevie JohnsonBUF,WR,16,82,143,1073,13.1,10,45,11,67.1,1,1,401,61,2010
12,DeSean JacksonPHI,WR,14,47,97,1056,22.5,6,91,21,75.4,2,1,353,33,2010
13,Hakeem NicksNYG,WR,13,79,128,1052,13.3,11,46,20,80.9,1,0,297,55,2010
14,Miles AustinDAL,WR,16,69,119,1041,15.1,7,69,17,65.1,1,1,437,50,2010
15,Marques ColstonNO,WR,15,84,133,1023,12.2,7,43,12,68.2,0,0,275,57,2010
16,Brandon MarshallMIA,WR,14,86,147,1014,11.8,3,46,9,72.4,2,1,185,57,2010
17,Jason WittenDAL,TE,16,94,128,1002,10.7,9,33,13,62.6,1,1,363,49,2010
18,Terrell OwensCIN,WR,14,72,139,983,13.7,9,78,15,70.2,0,0,269,47,2010
19,Jeremy MaclinPHI,WR,16,70,116,964,13.8,10,83,13,60.3,1,1,267,45,2010
19,Mike WilliamsTB,WR,16,65,127,964,14.8,11,58,18,60.3,3,2,334,44,2010
21,Johnny KnoxCHI,WR,16,51,100,960,18.8,5,67,17,60.0,1,1,243,43,2010
22,Mario ManninghamNYG,WR,16,60,92,944,15.7,9,92,19,59.0,1,1,343,32,2010
23,Vernon DavisSF,TE,16,56,93,914,16.3,7,66,16,57.1,0,0,380,35,2010
24,Braylon EdwardsNYJ,WR,16,53,102,904,17.1,7,74,14,56.5,1,1,290,40,2010
25,Jabar GaffneyDEN,WR,16,65,112,875,13.5,2,50,12,54.7,1,0,203,42,2010
26,Anthony ArmstrongWSH,WR,15,44,86,871,19.8,3,76,15,58.1,1,1,170,32,2010
27,Percy HarvinMIN,WR,14,71,110,868,12.2,5,53,14,62.0,0,0,400,41,2010
28,Chris CooleyWSH,TE,16,77,127,849,11.0,3,35,9,53.1,3,1,380,40,2010
29,Wes WelkerNE,WR,15,86,122,848,9.9,7,35,6,56.5,0,0,411,47,2010
30,Anquan BoldinBAL,WR,16,64,108,837,13.1,7,61,10,52.3,1,1,237,43,2010
31,Chad JohnsonCIN,WR,14,67,125,831,12.4,4,42,8,59.4,0,0,186,47,2010
32,Davone BessMIA,WR,16,79,125,820,10.4,5,29,8,51.3,0,0,316,43,2010
32,Mike ThomasJAX,WR,16,66,102,820,12.4,4,50,13,51.3,0,0,299,38,2010
34,Deion BranchSEA/NE,WR,15,61,92,818,13.4,6,79,10,54.5,1,1,272,43,2010
35,Derrick MasonBAL,WR,16,61,100,802,13.1,7,42,9,50.1,0,0,131,44,2010
36,Pierre GarconIND,WR,14,67,119,784,11.7,6,57,7,56.0,0,0,254,41,2010
37,Antonio GatesSD,TE,10,50,66,782,15.6,10,48,15,78.2,0,0,331,42,2010
38,Kenny BrittTEN,WR,12,42,73,775,18.5,9,80,12,64.6,1,1,124,33,2010
39,Ben WatsonCLE,TE,16,68,102,763,11.2,3,44,10,47.7,0,0,258,40,2010
39,Lance MooreNO,WR,16,66,95,763,11.6,8,80,7,47.7,1,1,276,40,2010
41,Hines WardPIT,WR,16,59,94,755,12.8,5,43,14,47.2,1,1,251,35,2010
42,Mike WilliamsSEA,WR,14,65,110,751,11.6,2,68,8,53.6,0,0,214,40,2010
43,Santonio HolmesNYJ,WR,12,52,94,746,14.3,6,52,11,62.2,0,0,229,36,2010
44,Michael CrabtreeSF,WR,16,55,101,741,13.5,6,60,10,46.3,0,0,298,40,2010
45,Kellen WinslowTB,TE,16,66,98,730,11.1,5,41,10,45.6,1,0,241,36,2010
46,Brandon PettigrewDET,TE,16,71,111,722,10.2,4,35,8,45.1,0,0,355,35,2010
47,Steve BreastonARI,WR,13,47,88,718,15.3,1,37,15,55.2,0,0,167,32,2010
48,Malcom FloydSD,WR,11,37,77,717,19.4,6,55,12,65.2,1,0,118,33,2010
49,Marcedes LewisJAX,TE,16,58,88,700,12.1,10,42,9,43.8,2,2,271,37,2010
50,Josh MorganSF,WR,16,44,80,698,15.9,2,65,12,43.6,1,1,275,27,2010
1,Calvin JohnsonDET,WR,16,96,158,1681,17.5,16,73,32,105.1,1,1,524,77,2011
2,Wes WelkerNE,WR,16,122,172,1569,12.9,9,99,21,98.1,0,0,732,77,2011
3,Victor CruzNYG,WR,16,82,131,1536,18.7,9,99,25,96.0,1,1,595,59,2011
4,Larry FitzgeraldARI,WR,16,80,153,1411,17.6,8,73,25,88.2,0,0,493,61,2011
5,Steve Smith Sr.CAR,WR,16,79,129,1394,17.6,7,77,29,87.1,3,2,474,53,2011
6,Rob GronkowskiNE,TE,16,90,124,1327,14.7,17,52,22,82.9,0,0,656,69,2011
7,Jimmy GrahamNO,TE,16,99,149,1310,13.2,11,59,18,81.9,1,1,469,74,2011
8,Roddy WhiteATL,WR,16,100,181,1296,13.0,8,43,18,81.0,0,0,364,77,2011
9,Jordy NelsonGB,WR,16,68,96,1263,18.6,15,93,19,78.9,0,0,418,47,2011
10,Brandon MarshallMIA,WR,16,81,145,1214,15.0,6,65,20,75.9,1,1,319,53,2011
11,Mike WallacePIT,WR,16,72,113,1193,16.6,8,95,18,74.6,1,1,493,54,2011
12,Hakeem NicksNYG,WR,15,76,133,1192,15.7,7,68,17,79.5,0,0,359,54,2011
13,Dwayne BoweKC,WR,16,81,141,1159,14.3,5,52,19,72.4,1,0,359,57,2011
14,Marques ColstonNO,WR,14,80,107,1143,14.3,8,50,15,81.6,1,1,265,55,2011
15,Antonio BrownPIT,WR,16,69,123,1108,16.1,2,79,18,69.3,0,0,342,57,2011
16,Vincent JacksonSD,WR,16,60,115,1106,18.4,9,58,21,69.1,0,0,224,54,2011
17,A.J. GreenCIN,WR,15,65,116,1057,16.3,7,58,19,70.5,0,0,292,43,2011
18,Nate WashingtonTEN,WR,16,74,121,1023,13.8,7,57,13,63.9,0,0,331,47,2011
19,Stevie JohnsonBUF,WR,16,76,135,1004,13.2,7,55,13,62.8,0,0,325,45,2011
20,Darrius Heyward-BeyOAK,WR,15,64,115,975,15.2,4,58,14,65.0,1,1,282,44,2011
21,Percy HarvinMIN,WR,16,87,123,967,11.1,6,52,14,60.4,2,2,537,45,2011
22,Brandon LloydSTL/DEN,WR,15,70,150,966,13.8,5,44,15,64.4,1,0,148,46,2011
23,DeSean JacksonPHI,WR,15,58,104,961,16.6,4,62,15,64.1,0,0,247,39,2011
24,Reggie WayneIND,WR,16,75,131,960,12.8,4,56,12,60.0,0,0,276,50,2011
25,Julio JonesATL,WR,13,54,96,959,17.8,8,80,16,73.8,1,1,415,34,2011
