RK,Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,Year
1,Arian FosterHOU,RB,16,327,1616,4.9,74,12,16,101.0,3,2,89,2010
2,Jamaal CharlesKC,RB,16,230,1467,6.4,80,10,5,91.7,2,1,70,2010
3,Michael TurnerATL,RB,16,334,1371,4.1,55,9,12,85.7,2,2,71,2010
4,Chris JohnsonTEN,RB,16,316,1364,4.3,76,13,11,85.3,2,2,55,2010
5,Maurice Jones-DrewJAX,RB,14,299,1324,4.4,37,8,5,94.6,2,2,75,2010
6,Adrian PetersonMIN,RB,15,283,1298,4.6,80,9,12,86.5,1,1,70,2010
7,Rashard MendenhallPIT,RB,16,324,1273,3.9,50,11,13,79.6,2,2,61,2010
8,Steven JacksonSTL,RB,16,330,1241,3.8,42,7,6,77.6,1,1,60,2010
9,Ahmad BradshawNYG,RB,16,276,1235,4.5,48,13,8,77.2,7,6,61,2010
10,Ray RiceBAL,RB,16,307,1220,4.0,50,4,5,76.3,0,0,51,2010
11,Peyton HillisCLE,RB,16,270,1177,4.4,48,5,11,73.6,8,5,57,2010
12,Darren McFaddenOAK,RB,13,223,1157,5.2,57,14,7,89.0,3,2,45,2010
13,Cedric BensonCIN,RB,16,321,1111,3.5,26,2,7,69.4,7,5,59,2010
14,LeSean McCoyPHI,RB,15,207,1080,5.2,62,7,7,72.0,1,1,48,2010
15,Matt ForteCHI,RB,16,237,1069,4.5,68,9,6,66.8,0,0,42,2010
16,BenJarvus Green-EllisNE,RB,16,229,1008,4.4,33,4,13,63.0,0,0,62,2010
17,LeGarrette BlountTB,RB,13,201,1007,5.0,53,10,6,77.5,3,2,38,2010
18,Fred JacksonBUF,RB,16,222,927,4.2,39,6,5,57.9,4,1,42,2010
19,LaDainian TomlinsonNYJ,RB,15,219,914,4.2,31,5,6,60.9,2,0,42,2010
20,Thomas JonesKC,RB,16,245,896,3.7,70,3,6,56.0,3,1,39,2010
21,Frank GoreSF,RB,11,203,853,4.2,64,6,3,77.5,3,2,42,2010
22,Brandon JacobsNYG,RB,16,147,823,5.6,73,10,9,51.4,2,2,39,2010
23,Felix JonesDAL,RB,16,185,800,4.3,34,3,1,50.0,1,1,44,2010
24,Knowshon MorenoDEN,RB,13,182,779,4.3,35,3,5,59.9,3,2,34,2010
25,Jonathan StewartCAR,RB,14,178,770,4.3,48,5,2,55.0,4,4,32,2010
26,Shonn GreeneNYJ,RB,15,185,766,4.1,23,1,2,51.1,2,2,40,2010
27,Ryan TorainWSH,RB,10,164,742,4.5,54,7,4,74.2,2,1,35,2010
28,Marshawn LynchBUF/SEA,RB,16,202,737,3.6,39,5,6,46.1,2,2,38,2010
29,Tim HightowerARI,RB,16,153,736,4.8,80,8,5,46.0,4,4,30,2010
30,Mike TolbertSD,FB,15,182,735,4.0,36,6,11,49.0,5,3,42,2010
31,Ronnie BrownMIA,RB,16,200,734,3.7,51,1,5,45.9,3,2,40,2010
32,Chris IvoryNO,RB,12,137,716,5.2,55,5,5,59.7,4,2,44,2010
33,Brandon JacksonGB,RB,16,190,703,3.7,71,2,3,43.9,1,0,27,2010
34,Ryan MathewsSD,RB,12,158,678,4.3,31,4,7,56.5,4,2,25,2010
35,Mike VickPHI,QB,12,100,676,6.8,35,8,9,56.3,4,1,38,2010
36,Ricky WilliamsMIA,RB,16,159,673,4.2,45,3,2,42.1,4,2,26,2010
37,Michael BushOAK,RB,14,158,655,4.1,30,5,8,46.8,0,0,32,2010
38,Jahvid BestDET,RB,16,171,555,3.2,45,3,4,34.7,1,1,25,2010
39,Danny WoodheadNE,RB,14,97,547,5.6,36,3,5,39.1,1,1,23,2010
40,Justin ForsettSEA,RB,16,118,523,4.4,32,5,2,32.7,0,0,25,2010
41,Donald BrownIND,RB,13,129,497,3.9,49,4,2,38.2,0,0,26,2010
42,Joseph AddaiIND,RB,8,116,495,4.3,46,1,4,61.9,2,1,31,2010
43,Rashad JenningsJAX,RB,13,84,459,5.5,74,1,4,35.3,0,0,25,2010
44,Mike GoodsonCAR,RB,16,103,452,4.4,45,3,3,28.3,4,2,20,2010
