League,Sport,Country(ies),Season,Teams,Revenue per match (in thousands of euros)
National Football League (NFL),American football,United States,2022,32,59772.0
Indian Premier League (IPL),Twenty20 cricket,India,2023,10,15971.0
Premier League (EPL),Association football,England  Wales,2021–22,20,15432.0
Fußball-Bundesliga (Bundesliga),Association football,Germany,2021–22,18,11288.0
Campeonato Nacional de Liga de Primera División (La Liga),Association football,Spain,2021–22,20,8800.0
National Basketball Association (NBA),Basketball,United States  Canada,2021-22,30,7206.0
Lega Nazionale Professionisti Serie A (Serie A),Association football,Italy,2021-22,20,6793.0
Championnat de France de football (Ligue 1),Association football,France  Monaco,2021-22,20,4979.0
Australian Football League (AFL),Australian rules football,Australia,2019,18,4642.0
Major League Baseball (MLB),Baseball,United States  Canada,2019,30,3964.0
Chinese Football Association Super League (CSL),Association football,China,2016,16,3938.0
Russian Premier League (RPL),Association football,Russia,2018–19,16,3650.0
National Hockey League (NHL),Ice hockey,United States  Canada,2021-22,32,3608.0
Caribbean Premier League (CPL),Twenty20 cricket,West Indies,2018,6,3294.0
Major League Soccer (MLS),Association football,United States  Canada,2022,28,3272.0
Big Bash League,Twenty20 cricket,Australia,2018–19,8,2932.0
J1 League,Association football,Japan,2017,18,2810.0
2. Fußball-Bundesliga (2. Bundesliga),Association football,Germany,2018–19,18,2554.0
Belgian First Division A,Association football,Belgium,2018–19,16,2330.0
Turkish Süper Lig,Association football,Turkey,2018–19,18,2190.0
Campeonato Brasileiro Série A (Brasileirão),Association football,Brazil,2020,20,2062.0
Premiership Rugby,Rugby union football,England,2015–16,12,1862.0
Eredivisie,Association football,Netherlands,2018–19,10,1853.0
Championnat de France de rugby à XV (Top 14),Rugby union football,France,2017–18,14,1803.0
Primeira Liga,Association football,Portugal,2018–19,18,1712.0
National Rugby League (NRL),Rugby league football,Australia  New Zealand,2020,16,1705.0
Canadian Football League (CFL),Canadian football,Canada,2018,9,1663.0
Liga MX,Association football,Mexico,2018-19,18,1662.0
Liga Profesional de Fútbol,Association football,Argentina,2018–19,26,1510.0
Chinese Basketball Association (CBA),Basketball,China,2015–16,20,1422.0
Saudi Professional League (SPL),Association football,Saudi Arabia,2016–17,14,1399.0
