rank,Youtuber,subscribers_1000s,video_views_1000s,video count,category,started
1,T-Series,235000.0,214517669.429,18649,Music,2006
3,Cocomelon - Nursery Rhymes,153000.0,150555884.107,853,Education,2006
4,SET India,151000.0,138881244.308,104380,Shows,2006
5,MrBeast,132000.0,22186527.737,734,Entertainment,2012
7,PewDiePie,111000.0,28882470.983,4697,Gaming,2010
8,✿ Kids Diana Show,107000.0,87440072.116,1061,People & Blogs,2015
9,Like Nastya,104000.0,87620793.607,758,People & Blogs,2016
11,WWE,93200.0,73995934.117,66494,Sports,2007
12,Vlad and Niki,93100.0,72754514.845,524,Entertainment,2018
13,Zee Music Company,92000.0,53773409.022,7653,Music,2014
14,BLACKPINK,84200.0,28944699.789,473,People & Blogs,2016
15,Goldmines,81900.0,21658011.145,5222,Film & Animation,2012
16,5-Minute Crafts,78700.0,25090418.542,5979,Howto & Style,2016
17,Sony SAB,76900.0,91948228.825,64138,Shows,2007
19,BANGTANTV,73400.0,19397783.327,2102,Music,2012
20,Justin Bieber,70900.0,29695458.123,249,Music,2007
21,HYBE LABELS,69200.0,26209389.071,1090,Music,2008
22,Canal KondZilla,66400.0,37232528.547,2389,Music,2012
23,Zee TV,65600.0,31995463.421,81250,Entertainment,2005
24,Pinkfong Baby Shark - Kids' Songs & Stories,65100.0,36296232.652,2621,Education,2011
25,Shemaroo Filmi Gaane,63700.0,30169732.007,8515,Music,2010
26,ChuChu TV Nursery Rhymes & Kids Songs,61500.0,42195986.696,535,Education,2013
27,Colors TV,59700.0,58346104.301,103973,Shows,2008
28,Dude Perfect,58600.0,15367093.401,367,Sports,2009
29,Movieclips,58600.0,59085388.581,39986,Film & Animation,2006
30,T-Series Bhakti Sagar,57600.0,27231542.154,24992,Music,2011
31,Tips Official,56600.0,31101013.295,4136,Music,2007
32,Marshmello,56100.0,14074234.079,406,Entertainment,2015
33,Wave Music,56000.0,39014100.766,18998,Music,2014
34,Sony Music India,55700.0,27366195.156,3410,Music,2009
35,Aaj Tak,55500.0,22834597.803,237408,News & Politics,2009
36,El Reino Infantil,55300.0,53785003.318,1421,Music,2011
37,EminemMusic,55200.0,25511164.926,140,Music,2007
38,Ed Sheeran,52900.0,29124046.056,262,Music,2006
39,LooLoo Kids - Nursery Rhymes and Children's Songs,52600.0,31037828.692,613,Music,2014
40,Ariana Grande,52300.0,23147580.559,146,Music,2007
41,YRF,51700.0,32535508.562,3504,Film & Animation,2006
42,Taylor Swift,50900.0,27895130.164,205,Music,2006
43,BillionSurpriseToys - English Kids Songs & Cartoon,50100.0,8712970.717,637,Education,2013
44,Infobells - Hindi,48700.0,27805423.479,520,Education,2014
45,Billie Eilish,47300.0,12892099.7,51,Music,2013
46,JuegaGerman,47100.0,14173853.68,2017,Gaming,2013
47,Badabun,46400.0,19106484.161,16855,Entertainment,2014
48,Fernanfloo,45600.0,10161729.211,542,Gaming,2011
49,Bad Bunny,45200.0,28389632.29,127,Music,2014
50,SonyMusicIndiaVEVO,45000.0,25912569.999,3372,Music,2009
51,Felipe Neto,44800.0,16090192.65,3978,Entertainment,2006
52,Get Movies,44500.0,29456561.439,3184,Entertainment,2006
53,BRIGHT SIDE,44400.0,10471141.467,5253,Howto & Style,2017
54,Shemaroo,44400.0,22586095.678,10777,Entertainment,2007
55,Você Sabia?,44100.0,7610033.716,1453,Entertainment,2013
56,A4,44100.0,20275455.537,714,Gaming,2014
57,whinderssonnunes,44000.0,4186339.22,524,Comedy,2013
58,Katy Perry,43800.0,24757512.175,120,Music,2008
59,HolaSoyGerman.,43400.0,4788367.54,136,Entertainment,2011
60,Alan Walker,42900.0,12318485.628,366,Music,2012
61,Voot Kids,42600.0,19788704.978,3988,Entertainment,2016
62,ABS-CBN Entertainment,42300.0,48983880.998,186567,People & Blogs,2008
63,Like Nastya Show,42100.0,19181106.387,614,Entertainment,2017
64,Speed Records,41900.0,25866301.569,10641,Music,2012
65,Маша и Медведь,41300.0,34791020.268,1293,Film & Animation,2011
66,Rihanna,40900.0,21285770.237,82,Entertainment,2005
67,Little Baby Bum - Nursery Rhymes & Kids Songs,40700.0,38710881.765,2267,Education,2011
68,Shakira,40500.0,25686503.315,308,People & Blogs,2005
69,elrubiusOMG,40400.0,7585380.948,711,Gaming,2011
70,Luisito Comunica,39800.0,8197663.59,1199,Comedy,2012
71,Kimberly Loaiza,39600.0,4993565.062,251,People & Blogs,2016
72,Ishtar Music,39600.0,16336715.683,4585,Trailers,2005
73,ARY Digital HD,39000.0,32902745.411,90215,Entertainment,2016
74,LUCCAS NETO - LUCCAS TOON,38800.0,21525097.738,2031,People & Blogs,2014
75,Masha and The Bear,38800.0,22109067.115,1046,Shows,2014
76,XXXTENTACION,38500.0,10173740.286,130,Music,2015
77,Toys and Colors,38500.0,44452898.82,913,Entertainment,2016
78,GR6 EXPLODE,38400.0,24816223.065,4144,Music,2014
79,TheEllenShow,38300.0,22553365.562,15082,Entertainment,2006
80,WorkpointOfficial,38200.0,35110409.2,67520,Entertainment,2012
81,One Direction,37900.0,13169699.553,157,Music,2010
82,CarryMinati,37800.0,3120566.871,182,Comedy,2014
83,shfa2 - شفا,37600.0,22381382.86,1479,People & Blogs,2017
84,Daddy Yankee,37500.0,21772913.239,471,Music,2011
85,Super Simple Songs - Kids Songs,37500.0,41244982.797,656,Education,2006
86,TEDx Talks,37500.0,7068852.933,192259,Nonprofits & Activism,2009
87,HAR PAL GEO,37200.0,33010168.721,82474,Entertainment,2008
88,shfa,37200.0,20314002.204,927,People & Blogs,2015
89,Jkk Entertainment,36800.0,15957016.48,207,Comedy,2017
90,Mikecrack,36700.0,15092255.599,1814,Gaming,2015
91,Goldmines Gaane Sune Ansune,36500.0,15637427.791,3415,Music,2015
92,Maroon 5,36400.0,21733204.518,163,Music,2006
94,ช่อง one31,36200.0,26734639.305,106095,Entertainment,2013
95,Bruno Mars,36100.0,18471600.528,99,Music,2006
96,Like Nastya ESP,36000.0,17319735.305,696,Entertainment,2017
97,Ozuna,35900.0,22373280.83,163,Music,2016
98,Maria Clara & JP,35700.0,22746702.499,695,People & Blogs,2015
99,Sony PAL,35600.0,26142363.805,21885,Shows,2014
100,Ultra Bollywood,35400.0,15930155.224,9406,Trailers,2009
101,YouTube,35200.0,2950585.485,618,News & Politics,1970
102,ABP NEWS,35200.0,11704826.945,257573,People & Blogs,2012
103,Markiplier,34400.0,19579307.845,5407,Gaming,2012
104,Total Gaming,34400.0,5320916.258,1146,Gaming,2018
105,Vlad và Niki,34200.0,21201307.995,462,,2018
106,Ryan's World,34200.0,53791921.817,2303,Entertainment,2015
107,J Balvin,33900.0,22332373.894,134,Music,2011
108,IndiaTV,33800.0,14870742.429,255945,News & Politics,2006
109,La Granja de Zenón,33800.0,24987313.658,608,Music,2013
110,Geet MP3,33700.0,12261000.364,621,Music,2016
111,T-Series Apna Punjab,33700.0,20147617.622,7217,Music,2011
112,Desi Music Factory,33600.0,9942273.938,130,Music,2014
113,VEGETTA777,33600.0,15210496.499,7359,Gaming,2008
114,PowerKids TV,33300.0,16950396.939,4024,Film & Animation,2014
115,SSSniperWolf,33300.0,22401173.448,3210,Gaming,2013
116,NoCopyrightSounds,33200.0,10881975.217,1216,Music,2011
